key	key_word	key_deriv	word	type	cz	en	gr	crum	pos	added	updated	created_by	updated_by	key-link	word-parsed	word-parsed-no-ref	word-title	word-parsed-prettify	type-parsed	gr-parsed	en-parsed	en-parsed-no-greek	crum-link	dialect-S	dialect-Sa	dialect-Sf	dialect-A	dialect-sA	dialect-B	dialect-F	dialect-Fb	dialect-O	dialect-NH	depth
4262	804	0		99	With following adverb:	With following adverb:		107a	9	2010-04-06	1900-01-01	vagrant		https://pishoyg.github.io/crum/4262.html					HEADER		With following adverb:	With following adverb:	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=107a											0
4263	804	4262	(B) ^^ ebol	0	knock outwards (from within)	knock outwards (from within)		107a	10	2010-04-06	1900-01-01	vagrant		https://pishoyg.github.io/crum/4263.html	(B) ― ⲉⲃⲟⲗ	(B) ― ⲉⲃⲟⲗ	― ⲉⲃⲟⲗ	"<span class=""word B"">(<span class=""dialect B"">B</span>) <span class=""spelling B"">― ⲉⲃⲟⲗ</span></span>"	-		knock outwards <i>from within</i>	knock outwards <i>from within</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=107a						― ⲉⲃⲟⲗ					1
4264	804	4262	(S,B) ^^ eHoun,^^ eKoun	0	knock inwards (from without)	knock inwards (from without)		107a	11	2010-04-06	1900-01-01	vagrant		https://pishoyg.github.io/crum/4264.html	(S, B) ― ⲉϩⲟⲩⲛ, ― ⲉϧⲟⲩⲛ	(S, B) ― ⲉϩⲟⲩⲛ, ― ⲉϧⲟⲩⲛ	― ⲉϩⲟⲩⲛ, ― ⲉϧⲟⲩⲛ	"<span class=""word S B"">(<span class=""dialect S"">S</span>, <span class=""dialect B"">B</span>) <span class=""spelling S B"">― ⲉϩⲟⲩⲛ</span>, <span class=""spelling S B"">― ⲉϧⲟⲩⲛ</span></span>"	-		knock inwards <i>from without</i>	knock inwards <i>from without</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=107a	― ⲉϩⲟⲩⲛ, ― ⲉϧⲟⲩⲛ					― ⲉϩⲟⲩⲛ, ― ⲉϧⲟⲩⲛ					1
493	804	0	(S,B) ^^	1	blow, knock	blow, knock		107a	12	2010-01-31	1900-01-01	vagrant		https://pishoyg.github.io/crum/493.html	(S, B) ―	(S, B) ―	―	"<span class=""word S B"">(<span class=""dialect S"">S</span>, <span class=""dialect B"">B</span>) <span class=""spelling S B"">―</span> (ⲡ)</span>"	noun male		blow, knock	blow, knock	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=107a	― (ⲡ)					― (ⲡ)					0
494	804	0	(S) klHe	4	blow	blow		107a	13	2010-01-31	1900-01-01	vagrant		https://pishoyg.github.io/crum/494.html	(S) ⲕⲗϩⲉ	(S) ⲕⲗϩⲉ	ⲕⲗϩⲉ	"<span class=""word S"">(<span class=""dialect S"">S</span>) <span class=""spelling S"">ⲕⲗϩⲉ</span> (ⲧ)</span>"	noun female		blow	blow	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=107a	ⲕⲗϩⲉ (ⲧ)										0
497	805	0	(S) noune nk.	4	(lit) root of reed, (a plant) /$gk: [[melenthrion]]$/	(lit) root of reed, (a plant) /$gk: [[melenthrion]]$/	melenthrion	108a	1	2010-01-31	1900-01-01	vagrant		https://pishoyg.github.io/crum/497.html	(S) ⲛⲟⲩⲛⲉ ⲛⲕ.	(S) ⲛⲟⲩⲛⲉ ⲛⲕ.	ⲛⲟⲩⲛⲉ ⲛⲕ.	"<span class=""word S"">(<span class=""dialect S"">S</span>) <span class=""spelling S"">ⲛⲟⲩⲛⲉ ⲛⲕ.</span> (ⲧ)</span>"	noun female	μελεντηριον	<i>lit</i> root of reed, <i>a plant</i> [μελεντηριον]	<i>lit</i> root of reed, <i>a plant</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=108a	ⲛⲟⲩⲛⲉ ⲛⲕ. (ⲧ)										0
4279	809	0	^^ nsa-	0	mock, contemn /$gk: [[mukthrizein]]$/	mock, contemn /$gk: [[mukthrizein]]$/	mukthrizein	110b	1	2010-04-06	1900-01-01	vagrant		https://pishoyg.github.io/crum/4279.html	― ⲛⲥⲁ-	― ⲛⲥⲁ-	― ⲛⲥⲁ-	"<span class=""word""><span class=""spelling"">― ⲛⲥⲁ-</span></span>"	-	μυκτηριζειν	mock, contemn [μυκτηριζειν]	mock, contemn	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=110b	― ⲛⲥⲁ-	― ⲛⲥⲁ-	― ⲛⲥⲁ-	― ⲛⲥⲁ-	― ⲛⲥⲁ-	― ⲛⲥⲁ-	― ⲛⲥⲁ-	― ⲛⲥⲁ-	― ⲛⲥⲁ-	― ⲛⲥⲁ-	0
513	809	0	^^	1	mockery, contempt /$gk: [[mukthrismos, ejoudenwsis]]$/	mockery, contempt /$gk: [[mukthrismos, ejoudenwsis]]$/	mukthrismos, ejoudenwsis	110b	2	2010-01-31	1900-01-01	vagrant		https://pishoyg.github.io/crum/513.html	―	―	―	"<span class=""word""><span class=""spelling"">―</span> (ⲡ)</span>"	noun male	μυκτηρισμοσ, εξουδενωσισ	mockery, contempt [μυκτηρισμοσ, εξουδενωσισ]	mockery, contempt	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=110b	― (ⲡ)	― (ⲡ)	― (ⲡ)	― (ⲡ)	― (ⲡ)	― (ⲡ)	― (ⲡ)	― (ⲡ)	― (ⲡ)	― (ⲡ)	0
514	809	0	mntreFk.	4	mockery, contempt	mockery, contempt		110b	3	2010-01-31	1900-01-01	vagrant		https://pishoyg.github.io/crum/514.html	ⲙⲛⲧⲣⲉϥⲕ.	ⲙⲛⲧⲣⲉϥⲕ.	ⲙⲛⲧⲣⲉϥⲕ.	"<span class=""word""><span class=""spelling"">ⲙⲛⲧⲣⲉϥⲕ.</span> (ⲧ)</span>"	noun female		mockery, contempt	mockery, contempt	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=110b	ⲙⲛⲧⲣⲉϥⲕ. (ⲧ)	ⲙⲛⲧⲣⲉϥⲕ. (ⲧ)	ⲙⲛⲧⲣⲉϥⲕ. (ⲧ)	ⲙⲛⲧⲣⲉϥⲕ. (ⲧ)	ⲙⲛⲧⲣⲉϥⲕ. (ⲧ)	ⲙⲛⲧⲣⲉϥⲕ. (ⲧ)	ⲙⲛⲧⲣⲉϥⲕ. (ⲧ)	ⲙⲛⲧⲣⲉϥⲕ. (ⲧ)	ⲙⲛⲧⲣⲉϥⲕ. (ⲧ)	ⲙⲛⲧⲣⲉϥⲕ. (ⲧ)	0
4040	811	0	T G.	0	smite with rod	smite with rod		828b	1	2010-04-01	1900-01-01	vagrant		https://pishoyg.github.io/crum/4040.html	ϯ ϭ.	ϯ ϭ.	ϯ ϭ.	"<span class=""word""><span class=""spelling"">ϯ ϭ.</span></span>"	-		smite with rod	smite with rod	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=828b	ϯ ϭ.	ϯ ϭ.	ϯ ϭ.	ϯ ϭ.	ϯ ϭ.	ϯ ϭ.	ϯ ϭ.	ϯ ϭ.	ϯ ϭ.	ϯ ϭ.	0
