key	key_word	key_deriv	word	type	cz	en	gr	crum	pos	added	updated	created_by	updated_by	key-link	word-parsed	word-parsed-classify	word-title	word-parsed-prettify	type-parsed	gr-parsed	en-parsed	en-parsed-no-greek	crum-link	dialect-S	dialect-Sa	dialect-Sf	dialect-A	dialect-sA	dialect-B	dialect-F	dialect-Fb	dialect-O	dialect-NH	depth
3355	318	0	(S,A,B) Ji H.,Gi K.	0	be shaded, take shelter	be shaded, take shelter		658a	8	2010-03-21	1900-01-01	vagrant		https://pishoyg.github.io/crum/3355.html	(S, A, B) ϫⲓ ϩ., ϭⲓ ϧ.	"<span class=""word S A B"">(<span class=""dialect S"">S</span>, <span class=""dialect A"">A</span>, <span class=""dialect B"">B</span>) <span class=""spelling S A B"">ϫⲓ ϩ.</span>, <span class=""spelling S A B"">ϭⲓ ϧ.</span> <span class=""nag-hammadi""></span></span>"	ϫⲓ ϩ., ϭⲓ ϧ.	"<span class=""word S A B"">(<span class=""dialect S"">S</span>, <span class=""dialect A"">A</span>, <span class=""dialect B"">B</span>) <span class=""spelling S A B"">ϫⲓ ϩ.</span>, <span class=""spelling S A B"">ϭⲓ ϧ.</span></span>"	-		be shaded, take shelter	be shaded, take shelter	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=658a	ϫⲓ ϩ., ϭⲓ ϧ.			ϫⲓ ϩ., ϭⲓ ϧ.		ϫⲓ ϩ., ϭⲓ ϧ.					0
7689	318	3355	^^^ Ha-,^^^ Ka-	0				658a	9	2010-08-11	1900-01-01	vagrant		https://pishoyg.github.io/crum/7689.html	<i><b>c</b></i> ϩⲁ-, <i><b>c</b></i> ϧⲁ-	"<span class=""word""><span class=""spelling""><i><b>c</b></i> ϩⲁ-</span>, <span class=""spelling""><i><b>c</b></i> ϧⲁ-</span> <span class=""nag-hammadi""></span></span>"	ϩⲁ-, ϧⲁ-	"<span class=""word""><span class=""spelling"">ϩⲁ-</span>, <span class=""spelling"">ϧⲁ-</span> (c)</span>"	-				https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=658a	ϩⲁ-, ϧⲁ- (c)	ϩⲁ-, ϧⲁ- (c)	ϩⲁ-, ϧⲁ- (c)	ϩⲁ-, ϧⲁ- (c)	ϩⲁ-, ϧⲁ- (c)	ϩⲁ-, ϧⲁ- (c)	ϩⲁ-, ϧⲁ- (c)	ϩⲁ-, ϧⲁ- (c)	ϩⲁ-, ϧⲁ- (c)	ϩⲁ-, ϧⲁ- (c)	1
7690	318	3355	^^^ Hn-	0				658a	10	2010-08-11	1900-01-01	vagrant		https://pishoyg.github.io/crum/7690.html	<i><b>c</b></i> ϩⲛ-	"<span class=""word""><span class=""spelling""><i><b>c</b></i> ϩⲛ-</span> <span class=""nag-hammadi""></span></span>"	ϩⲛ-	"<span class=""word""><span class=""spelling"">ϩⲛ-</span> (c)</span>"	-				https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=658a	ϩⲛ- (c)	ϩⲛ- (c)	ϩⲛ- (c)	ϩⲛ- (c)	ϩⲛ- (c)	ϩⲛ- (c)	ϩⲛ- (c)	ϩⲛ- (c)	ϩⲛ- (c)	ϩⲛ- (c)	1
7691	318	3355	(S) ma nJ.	0				658a	11	2010-08-11	1900-01-01	vagrant		https://pishoyg.github.io/crum/7691.html	(S) ⲙⲁ ⲛϫ.	"<span class=""word S"">(<span class=""dialect S"">S</span>) <span class=""spelling S"">ⲙⲁ ⲛϫ.</span> <span class=""nag-hammadi""></span></span>"	ⲙⲁ ⲛϫ.	"<span class=""word S"">(<span class=""dialect S"">S</span>) <span class=""spelling S"">ⲙⲁ ⲛϫ.</span></span>"	-				https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=658a	ⲙⲁ ⲛϫ.										1
3356	318	0	(S) reFseH H.	0	 /$gk: [[skiagrafos]]$/	 /$gk: [[skiagrafos]]$/	skiagrafos	658a	12	2010-03-21	1900-01-01	vagrant		https://pishoyg.github.io/crum/3356.html	(S) ⲣⲉϥⲥⲉϩ ϩ.	"<span class=""word S"">(<span class=""dialect S"">S</span>) <span class=""spelling S"">ⲣⲉϥⲥⲉϩ ϩ.</span> <span class=""nag-hammadi""></span></span>"	ⲣⲉϥⲥⲉϩ ϩ.	"<span class=""word S"">(<span class=""dialect S"">S</span>) <span class=""spelling S"">ⲣⲉϥⲥⲉϩ ϩ.</span></span>"	-	σκιαγραφοσ	[σκιαγραφοσ]		https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=658a	ⲣⲉϥⲥⲉϩ ϩ.										0
2376	319	0	tourhs,qourhs,qhou rhs	0	south wind /$gk: [[notos]]$/	south wind /$gk: [[notos]]$/	notos	440a	1	2010-02-24	2010-03-07	vagrant	vagrant	https://pishoyg.github.io/crum/2376.html	ⲧⲟⲩⲣⲏⲥ, ⲑⲟⲩⲣⲏⲥ, ⲑⲏⲟⲩ ⲣⲏⲥ	"<span class=""word""><span class=""spelling"">ⲧⲟⲩⲣⲏⲥ</span>, <span class=""spelling"">ⲑⲟⲩⲣⲏⲥ</span>, <span class=""spelling"">ⲑⲏⲟⲩ ⲣⲏⲥ</span> <span class=""nag-hammadi""></span></span>"	ⲧⲟⲩⲣⲏⲥ, ⲑⲟⲩⲣⲏⲥ, ⲑⲏⲟⲩ ⲣⲏⲥ	"<span class=""word""><span class=""spelling"">ⲧⲟⲩⲣⲏⲥ</span>, <span class=""spelling"">ⲑⲟⲩⲣⲏⲥ</span>, <span class=""spelling"">ⲑⲏⲟⲩ ⲣⲏⲥ</span></span>"	-	νοτοσ	south wind [νοτοσ]	south wind	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=440a	ⲧⲟⲩⲣⲏⲥ, ⲑⲟⲩⲣⲏⲥ, ⲑⲏⲟⲩ ⲣⲏⲥ	ⲧⲟⲩⲣⲏⲥ, ⲑⲟⲩⲣⲏⲥ, ⲑⲏⲟⲩ ⲣⲏⲥ	ⲧⲟⲩⲣⲏⲥ, ⲑⲟⲩⲣⲏⲥ, ⲑⲏⲟⲩ ⲣⲏⲥ	ⲧⲟⲩⲣⲏⲥ, ⲑⲟⲩⲣⲏⲥ, ⲑⲏⲟⲩ ⲣⲏⲥ	ⲧⲟⲩⲣⲏⲥ, ⲑⲟⲩⲣⲏⲥ, ⲑⲏⲟⲩ ⲣⲏⲥ	ⲧⲟⲩⲣⲏⲥ, ⲑⲟⲩⲣⲏⲥ, ⲑⲏⲟⲩ ⲣⲏⲥ	ⲧⲟⲩⲣⲏⲥ, ⲑⲟⲩⲣⲏⲥ, ⲑⲏⲟⲩ ⲣⲏⲥ	ⲧⲟⲩⲣⲏⲥ, ⲑⲟⲩⲣⲏⲥ, ⲑⲏⲟⲩ ⲣⲏⲥ	ⲧⲟⲩⲣⲏⲥ, ⲑⲟⲩⲣⲏⲥ, ⲑⲏⲟⲩ ⲣⲏⲥ	ⲧⲟⲩⲣⲏⲥ, ⲑⲟⲩⲣⲏⲥ, ⲑⲏⲟⲩ ⲣⲏⲥ	0
2377	319	0	(S) ma nt.	0	place of breath, life, (vital spot)	place of breath, life, (vital spot)		440a	2	2010-02-24	1900-01-01	vagrant		https://pishoyg.github.io/crum/2377.html	(S) ⲙⲁ ⲛⲧ.	"<span class=""word S"">(<span class=""dialect S"">S</span>) <span class=""spelling S"">ⲙⲁ ⲛⲧ.</span> <span class=""nag-hammadi""></span></span>"	ⲙⲁ ⲛⲧ.	"<span class=""word S"">(<span class=""dialect S"">S</span>) <span class=""spelling S"">ⲙⲁ ⲛⲧ.</span></span>"	-		place of breath, life, <i>vital spot</i>	place of breath, life, <i>vital spot</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=440a	ⲙⲁ ⲛⲧ.										0
2378	319	0	(S) ka nt.	0	leave breath, expire /$gk: [[ekcuxein, ekpneuein]]$/	leave breath, expire /$gk: [[ekcuxein, ekpneuein]]$/	ekcuxein, ekpneuein	440a	3	2010-02-24	1900-01-01	vagrant		https://pishoyg.github.io/crum/2378.html	(S) ⲕⲁ ⲛⲧ.	"<span class=""word S"">(<span class=""dialect S"">S</span>) <span class=""spelling S"">ⲕⲁ ⲛⲧ.</span> <span class=""nag-hammadi""></span></span>"	ⲕⲁ ⲛⲧ.	"<span class=""word S"">(<span class=""dialect S"">S</span>) <span class=""spelling S"">ⲕⲁ ⲛⲧ.</span></span>"	-	εκξυχειν, εκπνευειν	leave breath, expire [εκξυχειν, εκπνευειν]	leave breath, expire	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=440a	ⲕⲁ ⲛⲧ.										0
2379	319	0	(S) neJ t. ebol	0	cast out breath, expire	cast out breath, expire		440a	4	2010-02-24	1900-01-01	vagrant		https://pishoyg.github.io/crum/2379.html	(S) ⲛⲉϫ ⲧ. ⲉⲃⲟⲗ	"<span class=""word S"">(<span class=""dialect S"">S</span>) <span class=""spelling S"">ⲛⲉϫ ⲧ. ⲉⲃⲟⲗ</span> <span class=""nag-hammadi""></span></span>"	ⲛⲉϫ ⲧ. ⲉⲃⲟⲗ	"<span class=""word S"">(<span class=""dialect S"">S</span>) <span class=""spelling S"">ⲛⲉϫ ⲧ. ⲉⲃⲟⲗ</span></span>"	-		cast out breath, expire	cast out breath, expire	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=440a	ⲛⲉϫ ⲧ. ⲉⲃⲟⲗ										0
2380	319	0	(B) Hi nq.	0	gasp, expire /$gk: [[ekcuxein]]$/	gasp, expire /$gk: [[ekcuxein]]$/	ekcuxein	440a	5	2010-02-24	1900-01-01	vagrant		https://pishoyg.github.io/crum/2380.html	(B) ϩⲓ ⲛⲑ.	"<span class=""word B"">(<span class=""dialect B"">B</span>) <span class=""spelling B"">ϩⲓ ⲛⲑ.</span> <span class=""nag-hammadi""></span></span>"	ϩⲓ ⲛⲑ.	"<span class=""word B"">(<span class=""dialect B"">B</span>) <span class=""spelling B"">ϩⲓ ⲛⲑ.</span></span>"	-	εκξυχειν	gasp, expire [εκξυχειν]	gasp, expire	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=440a						ϩⲓ ⲛⲑ.					0
