key	key_word	key_deriv	word	type	cz	en	gr	crum	pos	added	updated	created_by	updated_by	key-link	word-parsed	word-parsed-no-ref	word-parsed-no-html	word-parsed-no-ref-no-html	word-title	word-parsed-prettify	type-parsed	gr-parsed	en-parsed	en-parsed-no-html	en-parsed-no-greek	en-parsed-light-greek	en-parsed-link-light-greek	en-parsed-no-greek-no-html	crum-link	crum-page	crum-column	dialect-S	lemma-S	dialect-Sa	lemma-Sa	dialect-Sf	lemma-Sf	dialect-A	lemma-A	dialect-sA	lemma-sA	dialect-B	lemma-B	dialect-F	lemma-F	dialect-Fb	lemma-Fb	dialect-O	lemma-O	dialect-NH	lemma-NH	depth
1827	174	0	s. mmone	0	foster brother /$gk: [[suntrofos]]$/	foster brother /$gk: [[suntrofos]]$/	suntrofos	343a	5	2010-02-14	1900-01-01	vagrant		https://pishoyg.github.io/crum/1827.html	ⲥ. ⲙⲙⲟⲛⲉ	ⲥ. ⲙⲙⲟⲛⲉ	ⲥ. ⲙⲙⲟⲛⲉ	ⲥ. ⲙⲙⲟⲛⲉ	ⲥ. ⲙⲙⲟⲛⲉ	ⲥ. ⲙⲙⲟⲛⲉ	-	συντροφοσ	foster brother [συντροφοσ]	foster brother [συντροφοσ]	foster brother	"foster brother <span style=""opacity:0.7"">[συντροφοσ]</span>"	"foster brother <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CF%83%CF%85%CE%BD%CF%84%CF%81%CE%BF%CF%86%CE%BF%CF%83"">συντροφοσ</a>]</span>"	foster brother	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=343a	343	a	ⲥ. ⲙⲙⲟⲛⲉ	ⲥ. ⲙⲙⲟⲛⲉ	ⲥ. ⲙⲙⲟⲛⲉ	ⲥ. ⲙⲙⲟⲛⲉ	ⲥ. ⲙⲙⲟⲛⲉ	ⲥ. ⲙⲙⲟⲛⲉ	ⲥ. ⲙⲙⲟⲛⲉ	ⲥ. ⲙⲙⲟⲛⲉ	ⲥ. ⲙⲙⲟⲛⲉ	ⲥ. ⲙⲙⲟⲛⲉ	ⲥ. ⲙⲙⲟⲛⲉ	ⲥ. ⲙⲙⲟⲛⲉ	ⲥ. ⲙⲙⲟⲛⲉ	ⲥ. ⲙⲙⲟⲛⲉ	ⲥ. ⲙⲙⲟⲛⲉ	ⲥ. ⲙⲙⲟⲛⲉ	ⲥ. ⲙⲙⲟⲛⲉ	ⲥ. ⲙⲙⲟⲛⲉ	ⲥ. ⲙⲙⲟⲛⲉ	ⲥ. ⲙⲙⲟⲛⲉ	0
1828	174	0	(S,A,sA,F) swne (B,F) swni	4	sister /$gk: [[adelfh]]$/	sister /$gk: [[adelfh]]$/	adelfh	343a	6	2010-02-14	1900-01-01	vagrant		https://pishoyg.github.io/crum/1828.html	"(S, A, sA, F) ⲥⲱⲛⲉ
(B, F) ⲥⲱⲛⲓ"	"(S, A, sA, F) ⲥⲱⲛⲉ
(B, F) ⲥⲱⲛⲓ"	"(S, A, sA, F) ⲥⲱⲛⲉ
(B, F) ⲥⲱⲛⲓ"	"(S, A, sA, F) ⲥⲱⲛⲉ
(B, F) ⲥⲱⲛⲓ"	ⲥⲱⲛⲉ, ⲥⲱⲛⲓ	"(S, A, sA, F) ⲥⲱⲛⲉ (ⲧ)
(B, F) ⲥⲱⲛⲓ (ⲧ)"	noun female	αδελφη	sister [αδελφη]	sister [αδελφη]	sister	"sister <span style=""opacity:0.7"">[αδελφη]</span>"	"sister <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%B1%CE%B4%CE%B5%CE%BB%CF%86%CE%B7"">αδελφη</a>]</span>"	sister	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=343a	343	a	ⲥⲱⲛⲉ (ⲧ)	ⲥⲱⲛⲉ					ⲥⲱⲛⲉ (ⲧ)	ⲥⲱⲛⲉ	ⲥⲱⲛⲉ (ⲧ)	ⲥⲱⲛⲉ	ⲥⲱⲛⲓ (ⲧ)	ⲥⲱⲛⲓ	"ⲥⲱⲛⲉ (ⲧ)
ⲥⲱⲛⲓ (ⲧ)"	ⲥⲱⲛⲉ							0
1829	174	1828	noG ns.,niST ns.	0	elder sister	elder sister		343a	7	2010-02-14	1900-01-01	vagrant		https://pishoyg.github.io/crum/1829.html	ⲛⲟϭ ⲛⲥ., ⲛⲓϣϯ ⲛⲥ.	ⲛⲟϭ ⲛⲥ., ⲛⲓϣϯ ⲛⲥ.	ⲛⲟϭ ⲛⲥ., ⲛⲓϣϯ ⲛⲥ.	ⲛⲟϭ ⲛⲥ., ⲛⲓϣϯ ⲛⲥ.	ⲛⲟϭ ⲛⲥ., ⲛⲓϣϯ ⲛⲥ.	ⲛⲟϭ ⲛⲥ., ⲛⲓϣϯ ⲛⲥ.	-		elder sister	elder sister	elder sister	elder sister	elder sister	elder sister	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=343a	343	a	ⲛⲟϭ ⲛⲥ., ⲛⲓϣϯ ⲛⲥ.	ⲛⲟϭ ⲛⲥ.	ⲛⲟϭ ⲛⲥ., ⲛⲓϣϯ ⲛⲥ.	ⲛⲟϭ ⲛⲥ.	ⲛⲟϭ ⲛⲥ., ⲛⲓϣϯ ⲛⲥ.	ⲛⲟϭ ⲛⲥ.	ⲛⲟϭ ⲛⲥ., ⲛⲓϣϯ ⲛⲥ.	ⲛⲟϭ ⲛⲥ.	ⲛⲟϭ ⲛⲥ., ⲛⲓϣϯ ⲛⲥ.	ⲛⲟϭ ⲛⲥ.	ⲛⲟϭ ⲛⲥ., ⲛⲓϣϯ ⲛⲥ.	ⲛⲟϭ ⲛⲥ.	ⲛⲟϭ ⲛⲥ., ⲛⲓϣϯ ⲛⲥ.	ⲛⲟϭ ⲛⲥ.	ⲛⲟϭ ⲛⲥ., ⲛⲓϣϯ ⲛⲥ.	ⲛⲟϭ ⲛⲥ.	ⲛⲟϭ ⲛⲥ., ⲛⲓϣϯ ⲛⲥ.	ⲛⲟϭ ⲛⲥ.	ⲛⲟϭ ⲛⲥ., ⲛⲓϣϯ ⲛⲥ.	ⲛⲟϭ ⲛⲥ.	1
1830	174	1828	koui ns.,kouJi ns.	0	younger sister	younger sister		343a	8	2010-02-14	1900-01-01	vagrant		https://pishoyg.github.io/crum/1830.html	ⲕⲟⲩⲓ ⲛⲥ., ⲕⲟⲩϫⲓ ⲛⲥ.	ⲕⲟⲩⲓ ⲛⲥ., ⲕⲟⲩϫⲓ ⲛⲥ.	ⲕⲟⲩⲓ ⲛⲥ., ⲕⲟⲩϫⲓ ⲛⲥ.	ⲕⲟⲩⲓ ⲛⲥ., ⲕⲟⲩϫⲓ ⲛⲥ.	ⲕⲟⲩⲓ ⲛⲥ., ⲕⲟⲩϫⲓ ⲛⲥ.	ⲕⲟⲩⲓ ⲛⲥ., ⲕⲟⲩϫⲓ ⲛⲥ.	-		younger sister	younger sister	younger sister	younger sister	younger sister	younger sister	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=343a	343	a	ⲕⲟⲩⲓ ⲛⲥ., ⲕⲟⲩϫⲓ ⲛⲥ.	ⲕⲟⲩⲓ ⲛⲥ.	ⲕⲟⲩⲓ ⲛⲥ., ⲕⲟⲩϫⲓ ⲛⲥ.	ⲕⲟⲩⲓ ⲛⲥ.	ⲕⲟⲩⲓ ⲛⲥ., ⲕⲟⲩϫⲓ ⲛⲥ.	ⲕⲟⲩⲓ ⲛⲥ.	ⲕⲟⲩⲓ ⲛⲥ., ⲕⲟⲩϫⲓ ⲛⲥ.	ⲕⲟⲩⲓ ⲛⲥ.	ⲕⲟⲩⲓ ⲛⲥ., ⲕⲟⲩϫⲓ ⲛⲥ.	ⲕⲟⲩⲓ ⲛⲥ.	ⲕⲟⲩⲓ ⲛⲥ., ⲕⲟⲩϫⲓ ⲛⲥ.	ⲕⲟⲩⲓ ⲛⲥ.	ⲕⲟⲩⲓ ⲛⲥ., ⲕⲟⲩϫⲓ ⲛⲥ.	ⲕⲟⲩⲓ ⲛⲥ.	ⲕⲟⲩⲓ ⲛⲥ., ⲕⲟⲩϫⲓ ⲛⲥ.	ⲕⲟⲩⲓ ⲛⲥ.	ⲕⲟⲩⲓ ⲛⲥ., ⲕⲟⲩϫⲓ ⲛⲥ.	ⲕⲟⲩⲓ ⲛⲥ.	ⲕⲟⲩⲓ ⲛⲥ., ⲕⲟⲩϫⲓ ⲛⲥ.	ⲕⲟⲩⲓ ⲛⲥ.	1
1831	174	1828	s. mmaHt	0	blood-sister	blood-sister		343a	9	2010-02-14	1900-01-01	vagrant		https://pishoyg.github.io/crum/1831.html	ⲥ. ⲙⲙⲁϩⲧ	ⲥ. ⲙⲙⲁϩⲧ	ⲥ. ⲙⲙⲁϩⲧ	ⲥ. ⲙⲙⲁϩⲧ	ⲥ. ⲙⲙⲁϩⲧ	ⲥ. ⲙⲙⲁϩⲧ	-		blood-sister	blood-sister	blood-sister	blood-sister	blood-sister	blood-sister	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=343a	343	a	ⲥ. ⲙⲙⲁϩⲧ	ⲥ. ⲙⲙⲁϩⲧ	ⲥ. ⲙⲙⲁϩⲧ	ⲥ. ⲙⲙⲁϩⲧ	ⲥ. ⲙⲙⲁϩⲧ	ⲥ. ⲙⲙⲁϩⲧ	ⲥ. ⲙⲙⲁϩⲧ	ⲥ. ⲙⲙⲁϩⲧ	ⲥ. ⲙⲙⲁϩⲧ	ⲥ. ⲙⲙⲁϩⲧ	ⲥ. ⲙⲙⲁϩⲧ	ⲥ. ⲙⲙⲁϩⲧ	ⲥ. ⲙⲙⲁϩⲧ	ⲥ. ⲙⲙⲁϩⲧ	ⲥ. ⲙⲙⲁϩⲧ	ⲥ. ⲙⲙⲁϩⲧ	ⲥ. ⲙⲙⲁϩⲧ	ⲥ. ⲙⲙⲁϩⲧ	ⲥ. ⲙⲙⲁϩⲧ	ⲥ. ⲙⲙⲁϩⲧ	1
1832	174	1828	s. Haeiwt	0	sister by father (/*step-sister*/)	sister by father (/*step-sister*/)		343a	10	2010-02-14	1900-01-01	vagrant		https://pishoyg.github.io/crum/1832.html	ⲥ. ϩⲁⲉⲓⲱⲧ	ⲥ. ϩⲁⲉⲓⲱⲧ	ⲥ. ϩⲁⲉⲓⲱⲧ	ⲥ. ϩⲁⲉⲓⲱⲧ	ⲥ. ϩⲁⲉⲓⲱⲧ	ⲥ. ϩⲁⲉⲓⲱⲧ	-		sister by father <i>(step-sister)</i>	sister by father (step-sister)	sister by father <i>(step-sister)</i>	sister by father <i>(step-sister)</i>	sister by father <i>(step-sister)</i>	sister by father (step-sister)	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=343a	343	a	ⲥ. ϩⲁⲉⲓⲱⲧ	ⲥ. ϩⲁⲉⲓⲱⲧ	ⲥ. ϩⲁⲉⲓⲱⲧ	ⲥ. ϩⲁⲉⲓⲱⲧ	ⲥ. ϩⲁⲉⲓⲱⲧ	ⲥ. ϩⲁⲉⲓⲱⲧ	ⲥ. ϩⲁⲉⲓⲱⲧ	ⲥ. ϩⲁⲉⲓⲱⲧ	ⲥ. ϩⲁⲉⲓⲱⲧ	ⲥ. ϩⲁⲉⲓⲱⲧ	ⲥ. ϩⲁⲉⲓⲱⲧ	ⲥ. ϩⲁⲉⲓⲱⲧ	ⲥ. ϩⲁⲉⲓⲱⲧ	ⲥ. ϩⲁⲉⲓⲱⲧ	ⲥ. ϩⲁⲉⲓⲱⲧ	ⲥ. ϩⲁⲉⲓⲱⲧ	ⲥ. ϩⲁⲉⲓⲱⲧ	ⲥ. ϩⲁⲉⲓⲱⲧ	ⲥ. ϩⲁⲉⲓⲱⲧ	ⲥ. ϩⲁⲉⲓⲱⲧ	1
1833	174	1828	(S,B,F) s. nsHime	0				343a	11	2010-02-14	1900-01-01	vagrant		https://pishoyg.github.io/crum/1833.html	(S, B, F) ⲥ. ⲛⲥϩⲓⲙⲉ	(S, B, F) ⲥ. ⲛⲥϩⲓⲙⲉ	(S, B, F) ⲥ. ⲛⲥϩⲓⲙⲉ	(S, B, F) ⲥ. ⲛⲥϩⲓⲙⲉ	ⲥ. ⲛⲥϩⲓⲙⲉ	(S, B, F) ⲥ. ⲛⲥϩⲓⲙⲉ	-								https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=343a	343	a	ⲥ. ⲛⲥϩⲓⲙⲉ	ⲥ. ⲛⲥϩⲓⲙⲉ									ⲥ. ⲛⲥϩⲓⲙⲉ	ⲥ. ⲛⲥϩⲓⲙⲉ	ⲥ. ⲛⲥϩⲓⲙⲉ	ⲥ. ⲛⲥϩⲓⲙⲉ							1
1834	174	0	(S,B,F) mnts.	0	brotherhood, brotherliness /$gk: [[adelfoths]]$/	brotherhood, brotherliness /$gk: [[adelfoths]]$/	adelfoths	343a	12	2010-02-14	1900-01-01	vagrant		https://pishoyg.github.io/crum/1834.html	(S, B, F) ⲙⲛⲧⲥ.	(S, B, F) ⲙⲛⲧⲥ.	(S, B, F) ⲙⲛⲧⲥ.	(S, B, F) ⲙⲛⲧⲥ.	ⲙⲛⲧⲥ.	(S, B, F) ⲙⲛⲧⲥ.	-	αδελφοτησ	brotherhood, brotherliness [αδελφοτησ]	brotherhood, brotherliness [αδελφοτησ]	brotherhood, brotherliness	"brotherhood, brotherliness <span style=""opacity:0.7"">[αδελφοτησ]</span>"	"brotherhood, brotherliness <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%B1%CE%B4%CE%B5%CE%BB%CF%86%CE%BF%CF%84%CE%B7%CF%83"">αδελφοτησ</a>]</span>"	brotherhood, brotherliness	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=343a	343	a	ⲙⲛⲧⲥ.	ⲙⲛⲧⲥ.									ⲙⲛⲧⲥ.	ⲙⲛⲧⲥ.	ⲙⲛⲧⲥ.	ⲙⲛⲧⲥ.							0
1835	174	0	(S,B) r s.	0	be brother	be brother		343a	13	2010-02-14	1900-01-01	vagrant		https://pishoyg.github.io/crum/1835.html	(S, B) ⲣ ⲥ.	(S, B) ⲣ ⲥ.	(S, B) ⲣ ⲥ.	(S, B) ⲣ ⲥ.	ⲣ ⲥ.	(S, B) ⲣ ⲥ.	-		be brother	be brother	be brother	be brother	be brother	be brother	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=343a	343	a	ⲣ ⲥ.	ⲣ ⲥ.									ⲣ ⲥ.	ⲣ ⲥ.									0
5505	175	0		99	intr :	intr :		76a	1	2010-06-03	1900-01-01	vagrant		https://pishoyg.github.io/crum/5505.html							HEADER		intr :	intr :	intr :	intr :	intr :	intr :	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=76a	76	a																					0
