key	key_word	key_deriv	word	type	cz	en	gr	crum	pos	added	updated	created_by	updated_by	key-link	word-parsed	word-parsed-classify	word-title	word-parsed-prettify	type-parsed	gr-parsed	en-parsed	en-parsed-no-greek	crum-link	dialect-S	dialect-Sa	dialect-Sf	dialect-A	dialect-sA	dialect-B	dialect-F	dialect-Fb	dialect-O	dialect-NH	depth
3870	59	0	reFJ.,reFG.	0	sluggard /$gk: [[oknhros]]$/	sluggard /$gk: [[oknhros]]$/	oknhros	776a	7	2010-03-29	1900-01-01	vagrant		https://pishoyg.github.io/crum/3870.html	ⲣⲉϥϫ., ⲣⲉϥϭ.	"<span class=""word""><span class=""spelling"">ⲣⲉϥϫ.</span>, <span class=""spelling"">ⲣⲉϥϭ.</span> <span class=""nag-hammadi""></span></span>"	ⲣⲉϥϫ., ⲣⲉϥϭ.	"<span class=""word""><span class=""spelling"">ⲣⲉϥϫ.</span>, <span class=""spelling"">ⲣⲉϥϭ.</span></span>"	-	οκνηροσ	sluggard [οκνηροσ]	sluggard	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=776a	ⲣⲉϥϫ., ⲣⲉϥϭ.	ⲣⲉϥϫ., ⲣⲉϥϭ.	ⲣⲉϥϫ., ⲣⲉϥϭ.	ⲣⲉϥϫ., ⲣⲉϥϭ.	ⲣⲉϥϫ., ⲣⲉϥϭ.	ⲣⲉϥϫ., ⲣⲉϥϭ.	ⲣⲉϥϫ., ⲣⲉϥϭ.	ⲣⲉϥϫ., ⲣⲉϥϭ.	ⲣⲉϥϫ., ⲣⲉϥϭ.	ⲣⲉϥϫ., ⲣⲉϥϭ.	0
3871	59	3870	mnt..reFJ.,met..reFJ.	0	delay, sloth /$gk: [[oknhria, raqumia]]$/	delay, sloth /$gk: [[oknhria, raqumia]]$/	oknhria, raqumia	776a	8	2010-03-29	1900-01-01	vagrant		https://pishoyg.github.io/crum/3871.html	ⲙⲛⲧⲣⲉϥϫ., ⲙⲉⲧⲣⲉϥϫ.	"<span class=""word""><span class=""spelling"">ⲙⲛⲧⲣⲉϥϫ.</span>, <span class=""spelling"">ⲙⲉⲧⲣⲉϥϫ.</span> <span class=""nag-hammadi""></span></span>"	ⲙⲛⲧⲣⲉϥϫ., ⲙⲉⲧⲣⲉϥϫ.	"<span class=""word""><span class=""spelling"">ⲙⲛⲧⲣⲉϥϫ.</span>, <span class=""spelling"">ⲙⲉⲧⲣⲉϥϫ.</span></span>"	-	οκνηρια, ραθυμια	delay, sloth [οκνηρια, ραθυμια]	delay, sloth	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=776a	ⲙⲛⲧⲣⲉϥϫ., ⲙⲉⲧⲣⲉϥϫ.	ⲙⲛⲧⲣⲉϥϫ., ⲙⲉⲧⲣⲉϥϫ.	ⲙⲛⲧⲣⲉϥϫ., ⲙⲉⲧⲣⲉϥϫ.	ⲙⲛⲧⲣⲉϥϫ., ⲙⲉⲧⲣⲉϥϫ.	ⲙⲛⲧⲣⲉϥϫ., ⲙⲉⲧⲣⲉϥϫ.	ⲙⲛⲧⲣⲉϥϫ., ⲙⲉⲧⲣⲉϥϫ.	ⲙⲛⲧⲣⲉϥϫ., ⲙⲉⲧⲣⲉϥϫ.	ⲙⲛⲧⲣⲉϥϫ., ⲙⲉⲧⲣⲉϥϫ.	ⲙⲛⲧⲣⲉϥϫ., ⲙⲉⲧⲣⲉϥϫ.	ⲙⲛⲧⲣⲉϥϫ., ⲙⲉⲧⲣⲉϥϫ.	1
3872	59	0	(B) Genne (B) *Genneu	0	sluggard, delayer /$gk: [[oknhros]]$/	sluggard, delayer /$gk: [[oknhros]]$/	oknhros	776b	9	2010-03-29	1900-01-01	vagrant		https://pishoyg.github.io/crum/3872.html	"(B) ϭⲉⲛⲛⲉ
(B) <i>plural: </i>ϭⲉⲛⲛⲉⲩ"	"<span class=""word B"">(<span class=""dialect B"">B</span>) <span class=""spelling B"">ϭⲉⲛⲛⲉ</span> <span class=""nag-hammadi""></span></span>
<span class=""word B"">(<span class=""dialect B"">B</span>) <span class=""spelling B""><i>plural: </i>ϭⲉⲛⲛⲉⲩ</span> <span class=""nag-hammadi""></span></span>"	ϭⲉⲛⲛⲉ, ϭⲉⲛⲛⲉⲩ	"<span class=""word B"">(<span class=""dialect B"">B</span>) <span class=""spelling B"">ϭⲉⲛⲛⲉ</span></span>
<span class=""word B"">(<span class=""dialect B"">B</span>) <span class=""spelling B"">ϭⲉⲛⲛⲉⲩ</span> (ⲛ)</span>"	-	οκνηροσ	sluggard, delayer [οκνηροσ]	sluggard, delayer	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=776b						"ϭⲉⲛⲛⲉ
ϭⲉⲛⲛⲉⲩ (ⲛ)"					0
3859	60	0		99	ask, question, require	ask, question, require		774b	1	2010-03-29	1900-01-01	vagrant		https://pishoyg.github.io/crum/3859.html					HEADER		ask, question, require	ask, question, require	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=774b											0
8351	60	3859		99	With following preposition:	With following preposition:		774b	2	2010-08-14	2010-08-14	vagrant	vagrant	https://pishoyg.github.io/crum/8351.html					HEADER		With following preposition:	With following preposition:	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=774b											1
8352	60	8351	^^^ e-	0	(further obj)	(further obj)		774b	3	2010-08-14	1900-01-01	vagrant		https://pishoyg.github.io/crum/8352.html	<i><b>c</b></i> ⲉ-	"<span class=""word""><span class=""spelling""><i><b>c</b></i> ⲉ-</span> <span class=""nag-hammadi""></span></span>"	ⲉ-	"<span class=""word""><span class=""spelling"">ⲉ-</span> (c)</span>"	-		<i>further obj</i>	<i>further obj</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=774b	ⲉ- (c)	ⲉ- (c)	ⲉ- (c)	ⲉ- (c)	ⲉ- (c)	ⲉ- (c)	ⲉ- (c)	ⲉ- (c)	ⲉ- (c)	ⲉ- (c)	2
8353	60	8351	^^^ etbe-	0				774b	4	2010-08-14	1900-01-01	vagrant		https://pishoyg.github.io/crum/8353.html	<i><b>c</b></i> ⲉⲧⲃⲉ-	"<span class=""word""><span class=""spelling""><i><b>c</b></i> ⲉⲧⲃⲉ-</span> <span class=""nag-hammadi""></span></span>"	ⲉⲧⲃⲉ-	"<span class=""word""><span class=""spelling"">ⲉⲧⲃⲉ-</span> (c)</span>"	-				https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=774b	ⲉⲧⲃⲉ- (c)	ⲉⲧⲃⲉ- (c)	ⲉⲧⲃⲉ- (c)	ⲉⲧⲃⲉ- (c)	ⲉⲧⲃⲉ- (c)	ⲉⲧⲃⲉ- (c)	ⲉⲧⲃⲉ- (c)	ⲉⲧⲃⲉ- (c)	ⲉⲧⲃⲉ- (c)	ⲉⲧⲃⲉ- (c)	2
8354	60	8351	^^^ nm-	0	consult, debate with	consult, debate with		774b	5	2010-08-14	1900-01-01	vagrant		https://pishoyg.github.io/crum/8354.html	<i><b>c</b></i> ⲛⲙ-	"<span class=""word""><span class=""spelling""><i><b>c</b></i> ⲛⲙ-</span> <span class=""nag-hammadi""></span></span>"	ⲛⲙ-	"<span class=""word""><span class=""spelling"">ⲛⲙ-</span> (c)</span>"	-		consult, debate with	consult, debate with	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=774b	ⲛⲙ- (c)	ⲛⲙ- (c)	ⲛⲙ- (c)	ⲛⲙ- (c)	ⲛⲙ- (c)	ⲛⲙ- (c)	ⲛⲙ- (c)	ⲛⲙ- (c)	ⲛⲙ- (c)	ⲛⲙ- (c)	2
8355	60	8351	^^^ Ha-	0				775a	6	2010-08-14	1900-01-01	vagrant		https://pishoyg.github.io/crum/8355.html	<i><b>c</b></i> ϩⲁ-	"<span class=""word""><span class=""spelling""><i><b>c</b></i> ϩⲁ-</span> <span class=""nag-hammadi""></span></span>"	ϩⲁ-	"<span class=""word""><span class=""spelling"">ϩⲁ-</span> (c)</span>"	-				https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=775a	ϩⲁ- (c)	ϩⲁ- (c)	ϩⲁ- (c)	ϩⲁ- (c)	ϩⲁ- (c)	ϩⲁ- (c)	ϩⲁ- (c)	ϩⲁ- (c)	ϩⲁ- (c)	ϩⲁ- (c)	2
3860	60	3859	^^	1	questioning, inquiry /$gk: [[ejetasmos]]$/	questioning, inquiry /$gk: [[ejetasmos]]$/	ejetasmos	775a	7	2010-03-29	1900-01-01	vagrant		https://pishoyg.github.io/crum/3860.html	―	"<span class=""word""><span class=""spelling"">―</span> <span class=""nag-hammadi""></span></span>"	―	"<span class=""word""><span class=""spelling"">―</span> (ⲡ)</span>"	noun male	εξετασμοσ	questioning, inquiry [εξετασμοσ]	questioning, inquiry	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=775a	― (ⲡ)	― (ⲡ)	― (ⲡ)	― (ⲡ)	― (ⲡ)	― (ⲡ)	― (ⲡ)	― (ⲡ)	― (ⲡ)	― (ⲡ)	1
