key	key_word	key_deriv	word	type	cz	en	gr	crum	pos	added	updated	created_by	updated_by	key-link	word-parsed	word-parsed-no-ref	word-parsed-no-html	word-parsed-no-ref-no-html	word-title	word-parsed-prettify	type-parsed	gr-parsed	en-parsed	en-parsed-no-html	en-parsed-no-greek	en-parsed-light-greek	en-parsed-link-light-greek	en-parsed-no-greek-no-html	crum-link	crum-page	crum-column	dialect-S	lemma-S	dialect-Sa	lemma-Sa	dialect-Sf	lemma-Sf	dialect-A	lemma-A	dialect-sA	lemma-sA	dialect-B	lemma-B	dialect-F	lemma-F	dialect-Fb	lemma-Fb	dialect-O	lemma-O	dialect-NH	lemma-NH	depth
2116	143	0	(B) ats.	0	wifeless /$gk: [[agunaios]]$/	wifeless /$gk: [[agunaios]]$/	agunaios	385a	1	2010-02-19	1900-01-01	vagrant		https://pishoyg.github.io/crum/2116.html	(B) ⲁⲧⲥ.	(B) ⲁⲧⲥ.	(B) ⲁⲧⲥ.	(B) ⲁⲧⲥ.	ⲁⲧⲥ.	(B) ⲁⲧⲥ.	-	αγυναιοσ	wifeless [αγυναιοσ]	wifeless [αγυναιοσ]	wifeless	"wifeless <span style=""opacity:0.7"">[αγυναιοσ]</span>"	"wifeless <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%B1%CE%B3%CF%85%CE%BD%CE%B1%CE%B9%CE%BF%CF%83"">αγυναιοσ</a>]</span>"	wifeless	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=385a	385	a											ⲁⲧⲥ.	ⲁⲧⲥ.									0
2117	143	0	(B) ma ns.	0	women's place	women's place		385a	2	2010-02-19	1900-01-01	vagrant		https://pishoyg.github.io/crum/2117.html	(B) ⲙⲁ ⲛⲥ.	(B) ⲙⲁ ⲛⲥ.	(B) ⲙⲁ ⲛⲥ.	(B) ⲙⲁ ⲛⲥ.	ⲙⲁ ⲛⲥ.	(B) ⲙⲁ ⲛⲥ.	-		women's place	women's place	women's place	women's place	women's place	women's place	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=385a	385	a											ⲙⲁ ⲛⲥ.	ⲙⲁ ⲛⲥ.									0
2118	143	0	(S) mnts.	0	womanhood	womanhood		385a	3	2010-02-19	1900-01-01	vagrant		https://pishoyg.github.io/crum/2118.html	(S) ⲙⲛⲧⲥ.	(S) ⲙⲛⲧⲥ.	(S) ⲙⲛⲧⲥ.	(S) ⲙⲛⲧⲥ.	ⲙⲛⲧⲥ.	(S) ⲙⲛⲧⲥ.	-		womanhood	womanhood	womanhood	womanhood	womanhood	womanhood	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=385a	385	a	ⲙⲛⲧⲥ.	ⲙⲛⲧⲥ.																			0
2119	143	0	(S,B) r s.	0	become, be wife | deflower /$gk: [[apoparqenoun]]$/	become, be wife | deflower /$gk: [[apoparqenoun]]$/	apoparqenoun	385a	4	2010-02-19	2012-03-31	vagrant	vagrant	https://pishoyg.github.io/crum/2119.html	(S, B) ⲣ ⲥ.	(S, B) ⲣ ⲥ.	(S, B) ⲣ ⲥ.	(S, B) ⲣ ⲥ.	ⲣ ⲥ.	(S, B) ⲣ ⲥ.	-	αποπαρθενουν	"become, be wife
deflower [αποπαρθενουν]"	"become, be wife
deflower [αποπαρθενουν]"	"become, be wife
deflower"	"become, be wife
deflower <span style=""opacity:0.7"">[αποπαρθενουν]</span>"	"become, be wife
deflower <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%B1%CF%80%CE%BF%CF%80%CE%B1%CF%81%CE%B8%CE%B5%CE%BD%CE%BF%CF%85%CE%BD"">αποπαρθενουν</a>]</span>"	"become, be wife
deflower"	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=385a	385	a	ⲣ ⲥ.	ⲣ ⲥ.									ⲣ ⲥ.	ⲣ ⲥ.									0
2120	143	0	(S,B) Ji s.,Gi s.	0	take wife /$gk: [[gamein]]$/ | (as nn), marriage	take wife /$gk: [[gamein]]$/ | (as nn), marriage	gamein	385b	5	2010-02-19	2010-02-19	vagrant	vagrant	https://pishoyg.github.io/crum/2120.html	(S, B) ϫⲓ ⲥ., ϭⲓ ⲥ.	(S, B) ϫⲓ ⲥ., ϭⲓ ⲥ.	(S, B) ϫⲓ ⲥ., ϭⲓ ⲥ.	(S, B) ϫⲓ ⲥ., ϭⲓ ⲥ.	ϫⲓ ⲥ., ϭⲓ ⲥ.	(S, B) ϫⲓ ⲥ., ϭⲓ ⲥ.	-	γαμειν	"take wife [γαμειν]
<i>as nn</i>, marriage"	"take wife [γαμειν]
as nn, marriage"	"take wife 
<i>as nn</i>, marriage"	"take wife <span style=""opacity:0.7"">[γαμειν]</span>
<i>as nn</i>, marriage"	"take wife <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%B3%CE%B1%CE%BC%CE%B5%CE%B9%CE%BD"">γαμειν</a>]</span>
<i>as nn</i>, marriage"	"take wife 
as nn, marriage"	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=385b	385	b	ϫⲓ ⲥ., ϭⲓ ⲥ.	ϫⲓ ⲥ.									ϫⲓ ⲥ., ϭⲓ ⲥ.	ϫⲓ ⲥ.									0
7024	144	0		99	With following preposition:	With following preposition:		504b	1	2010-08-07	1900-01-01	vagrant		https://pishoyg.github.io/crum/7024.html							HEADER		With following preposition:	With following preposition:	With following preposition:	With following preposition:	With following preposition:	With following preposition:	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=504b	504	b																					0
7025	144	7024	(S) ^^^ e-	0	upon, at /$gk: [[filein]]$/	upon, at /$gk: [[filein]]$/	filein	504b	2	2010-08-07	1900-01-01	vagrant		https://pishoyg.github.io/crum/7025.html	(S) <i><b>c</b></i> ⲉ-	(S) <i><b>c</b></i> ⲉ-	(S) c ⲉ-	(S) c ⲉ-	ⲉ- (c)	(S) ⲉ- (c)	-	φιλειν	upon, at [φιλειν]	upon, at [φιλειν]	upon, at	"upon, at <span style=""opacity:0.7"">[φιλειν]</span>"	"upon, at <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CF%86%CE%B9%CE%BB%CE%B5%CE%B9%CE%BD"">φιλειν</a>]</span>"	upon, at	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=504b	504	b	ⲉ- (c)	ⲉ-																			1
7026	144	7024	(S,B) ^^^ eJn-	0	do obeisance upon	do obeisance upon		504b	3	2010-08-07	1900-01-01	vagrant		https://pishoyg.github.io/crum/7026.html	(S, B) <i><b>c</b></i> ⲉϫⲛ-	(S, B) <i><b>c</b></i> ⲉϫⲛ-	(S, B) c ⲉϫⲛ-	(S, B) c ⲉϫⲛ-	ⲉϫⲛ- (c)	(S, B) ⲉϫⲛ- (c)	-		do obeisance upon	do obeisance upon	do obeisance upon	do obeisance upon	do obeisance upon	do obeisance upon	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=504b	504	b	ⲉϫⲛ- (c)	ⲉϫⲛ-									ⲉϫⲛ- (c)	ⲉϫⲛ-									1
7027	144	7024	(S,A,sA,B) ^^^ HiJn-	0	(as last)	(as last)		504b	4	2010-08-07	1900-01-01	vagrant		https://pishoyg.github.io/crum/7027.html	(S, A, sA, B) <i><b>c</b></i> ϩⲓϫⲛ-	(S, A, sA, B) <i><b>c</b></i> ϩⲓϫⲛ-	(S, A, sA, B) c ϩⲓϫⲛ-	(S, A, sA, B) c ϩⲓϫⲛ-	ϩⲓϫⲛ- (c)	(S, A, sA, B) ϩⲓϫⲛ- (c)	-		<i>as last</i>	as last	<i>as last</i>	<i>as last</i>	<i>as last</i>	as last	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=504b	504	b	ϩⲓϫⲛ- (c)	ϩⲓϫⲛ-					ϩⲓϫⲛ- (c)	ϩⲓϫⲛ-	ϩⲓϫⲛ- (c)	ϩⲓϫⲛ-	ϩⲓϫⲛ- (c)	ϩⲓϫⲛ-									1
7028	144	7024	(S,sA,B) ^^^ n- *^dat^*	0				504b	5	2010-08-07	1900-01-01	vagrant		https://pishoyg.github.io/crum/7028.html	(S, sA, B) <i><b>c</b></i> ⲛ- {dat}	(S, sA, B) <i><b>c</b></i> ⲛ- {dat}	(S, sA, B) c ⲛ- {dat}	(S, sA, B) c ⲛ- {dat}	ⲛ- {dat} (c)	(S, sA, B) ⲛ- {dat} (c)	-								https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=504b	504	b	ⲛ- {dat} (c)	ⲛ- {dat}							ⲛ- {dat} (c)	ⲛ- {dat}	ⲛ- {dat} (c)	ⲛ- {dat}									1
