key	key_word	key_deriv	word	type	cz	en	gr	crum	pos	added	updated	created_by	updated_by	key-link	word-parsed	word-parsed-no-ref	word-parsed-no-html	word-parsed-no-ref-no-html	word-title	word-parsed-prettify	type-parsed	gr-parsed	en-parsed	en-parsed-no-html	en-parsed-no-greek	en-parsed-light-greek	en-parsed-link-light-greek	en-parsed-no-greek-no-html	crum-link	crum-page	crum-column	dialect-S	lemma-S	dialect-Sa	lemma-Sa	dialect-Sf	lemma-Sf	dialect-A	lemma-A	dialect-sA	lemma-sA	dialect-B	lemma-B	dialect-F	lemma-F	dialect-Fb	lemma-Fb	dialect-O	lemma-O	dialect-NH	lemma-NH	depth
1365	481	0	r o.,oi no.	0	become clay, mud	become clay, mud		255a	1	2010-02-09	1900-01-01	vagrant		https://pishoyg.github.io/crum/1365.html	ⲣ ⲟ., ⲟⲓ ⲛⲟ.	ⲣ ⲟ., ⲟⲓ ⲛⲟ.	ⲣ ⲟ., ⲟⲓ ⲛⲟ.	ⲣ ⲟ., ⲟⲓ ⲛⲟ.	ⲣ ⲟ., ⲟⲓ ⲛⲟ.	ⲣ ⲟ., ⲟⲓ ⲛⲟ.	-		become clay, mud	become clay, mud	become clay, mud	become clay, mud	become clay, mud	become clay, mud	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=255a	255	a	ⲣ ⲟ., ⲟⲓ ⲛⲟ.	ⲣ ⲟ.	ⲣ ⲟ., ⲟⲓ ⲛⲟ.	ⲣ ⲟ.	ⲣ ⲟ., ⲟⲓ ⲛⲟ.	ⲣ ⲟ.	ⲣ ⲟ., ⲟⲓ ⲛⲟ.	ⲣ ⲟ.	ⲣ ⲟ., ⲟⲓ ⲛⲟ.	ⲣ ⲟ.	ⲣ ⲟ., ⲟⲓ ⲛⲟ.	ⲣ ⲟ.	ⲣ ⲟ., ⲟⲓ ⲛⲟ.	ⲣ ⲟ.	ⲣ ⲟ., ⲟⲓ ⲛⲟ.	ⲣ ⲟ.	ⲣ ⲟ., ⲟⲓ ⲛⲟ.	ⲣ ⲟ.	ⲣ ⲟ., ⲟⲓ ⲛⲟ.	ⲣ ⲟ.	0
1366	481	0	(S) am-	0	[amphrS] red clay, [Sourh namHat] white clay	[amphrS] red clay, [Sourh namHat] white clay		255a	2	2010-02-09	1900-01-01	vagrant		https://pishoyg.github.io/crum/1366.html	(S) ⲁⲙ-	(S) ⲁⲙ-	(S) ⲁⲙ-	(S) ⲁⲙ-	ⲁⲙ-	(S) ⲁⲙ-	-		ⲁⲙⲡⲏⲣϣ red clay, ϣⲟⲩⲣⲏ ⲛⲁⲙϩⲁⲧ white clay	ⲁⲙⲡⲏⲣϣ red clay, ϣⲟⲩⲣⲏ ⲛⲁⲙϩⲁⲧ white clay	ⲁⲙⲡⲏⲣϣ red clay, ϣⲟⲩⲣⲏ ⲛⲁⲙϩⲁⲧ white clay	ⲁⲙⲡⲏⲣϣ red clay, ϣⲟⲩⲣⲏ ⲛⲁⲙϩⲁⲧ white clay	ⲁⲙⲡⲏⲣϣ red clay, ϣⲟⲩⲣⲏ ⲛⲁⲙϩⲁⲧ white clay	ⲁⲙⲡⲏⲣϣ red clay, ϣⲟⲩⲣⲏ ⲛⲁⲙϩⲁⲧ white clay	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=255a	255	a	ⲁⲙ-	ⲁⲙ-																			0
1367	481	0	(S,B) ouamo. (S) mome	4	eartheater, (a rodent of devouring animal) | (rodent ulcer, gangrene)	eartheater, (a rodent of devouring animal) | (rodent ulcer, gangrene)		255a	3	2010-02-09	1900-01-01	vagrant		https://pishoyg.github.io/crum/1367.html	"(S, B) ⲟⲩⲁⲙⲟ.
(S) ⲙⲟⲙⲉ"	"(S, B) ⲟⲩⲁⲙⲟ.
(S) ⲙⲟⲙⲉ"	"(S, B) ⲟⲩⲁⲙⲟ.
(S) ⲙⲟⲙⲉ"	"(S, B) ⲟⲩⲁⲙⲟ.
(S) ⲙⲟⲙⲉ"	ⲟⲩⲁⲙⲟ., ⲙⲟⲙⲉ	"(S, B) ⲟⲩⲁⲙⲟ. (ⲧ)
(S) ⲙⲟⲙⲉ (ⲧ)"	noun female		"eartheater, <i>a rodent of devouring animal</i>
<i>rodent ulcer, gangrene</i>"	"eartheater, a rodent of devouring animal
rodent ulcer, gangrene"	"eartheater, <i>a rodent of devouring animal</i>
<i>rodent ulcer, gangrene</i>"	"eartheater, <i>a rodent of devouring animal</i>
<i>rodent ulcer, gangrene</i>"	"eartheater, <i>a rodent of devouring animal</i>
<i>rodent ulcer, gangrene</i>"	"eartheater, a rodent of devouring animal
rodent ulcer, gangrene"	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=255a	255	a	"ⲟⲩⲁⲙⲟ. (ⲧ)
ⲙⲟⲙⲉ (ⲧ)"	ⲟⲩⲁⲙⲟ.									ⲟⲩⲁⲙⲟ. (ⲧ)	ⲟⲩⲁⲙⲟ.									0
9021	481	1367	(S) r ..ou.	0	eat, spread (as gangrene)	eat, spread (as gangrene)		255a	4	2014-08-10	1900-01-01	vagrant		https://pishoyg.github.io/crum/9021.html	(S) ⲣ ⲟⲩ.	(S) ⲣ ⲟⲩ.	(S) ⲣ ⲟⲩ.	(S) ⲣ ⲟⲩ.	ⲣ ⲟⲩ.	(S) ⲣ ⲟⲩ.	-		eat, spread <i>as gangrene</i>	eat, spread as gangrene	eat, spread <i>as gangrene</i>	eat, spread <i>as gangrene</i>	eat, spread <i>as gangrene</i>	eat, spread as gangrene	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=255a	255	a	ⲣ ⲟⲩ.	ⲣ ⲟⲩ.																			1
1368	481	0	(B) *JaJo.	3	(metal agricultural tool, hoe ? pick ?)	(metal agricultural tool, hoe ? pick ?)		255a	5	2010-02-09	1900-01-01	vagrant		https://pishoyg.github.io/crum/1368.html	(B) <i>plural: </i>ϫⲁϫⲟ.	(B) <i>plural: </i>ϫⲁϫⲟ.	(B) plural: ϫⲁϫⲟ.	(B) plural: ϫⲁϫⲟ.	ϫⲁϫⲟ. (ⲛ)	(B) ϫⲁϫⲟ. (ⲛ)	noun		<i>metal agricultural tool, hoe ? pick ?</i>	metal agricultural tool, hoe ? pick ?	<i>metal agricultural tool, hoe ? pick ?</i>	<i>metal agricultural tool, hoe ? pick ?</i>	<i>metal agricultural tool, hoe ? pick ?</i>	metal agricultural tool, hoe ? pick ?	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=255a	255	a											ϫⲁϫⲟ. (ⲛ)	ϫⲁϫⲟ.									0
1785	482	0	(S) swwme,some= (Sf) saame-,saame=	0	rub, polish (/*same ?*/)	rub, polish (/*same ?*/)		334b	1	2010-02-13	1900-01-01	vagrant		https://pishoyg.github.io/crum/1785.html	"(S) ⲥⲱⲱⲙⲉ, ⲥⲟⲙⲉ=
(Sf) ⲥⲁⲁⲙⲉ-, ⲥⲁⲁⲙⲉ="	"(S) ⲥⲱⲱⲙⲉ, ⲥⲟⲙⲉ=
(Sf) ⲥⲁⲁⲙⲉ-, ⲥⲁⲁⲙⲉ="	"(S) ⲥⲱⲱⲙⲉ, ⲥⲟⲙⲉ=
(Sf) ⲥⲁⲁⲙⲉ-, ⲥⲁⲁⲙⲉ="	"(S) ⲥⲱⲱⲙⲉ, ⲥⲟⲙⲉ=
(Sf) ⲥⲁⲁⲙⲉ-, ⲥⲁⲁⲙⲉ="	ⲥⲱⲱⲙⲉ, ⲥⲟⲙⲉ=, ⲥⲁⲁⲙⲉ-, ⲥⲁⲁⲙⲉ=	"(S) ⲥⲱⲱⲙⲉ, ⲥⲟⲙⲉ=
(Sf) ⲥⲁⲁⲙⲉ-, ⲥⲁⲁⲙⲉ="	-		rub, polish <i>(same ?)</i>	rub, polish (same ?)	rub, polish <i>(same ?)</i>	rub, polish <i>(same ?)</i>	rub, polish <i>(same ?)</i>	rub, polish (same ?)	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=334b	334	b	ⲥⲱⲱⲙⲉ, ⲥⲟⲙⲉ=	ⲥⲱⲱⲙⲉ			ⲥⲁⲁⲙⲉ-, ⲥⲁⲁⲙⲉ=	ⲥⲁⲁⲙⲉ-															0
7240	483	0		99	With following preposition:	With following preposition:		539b	1	2010-08-09	1900-01-01	vagrant		https://pishoyg.github.io/crum/7240.html							HEADER		With following preposition:	With following preposition:	With following preposition:	With following preposition:	With following preposition:	With following preposition:	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=539b	539	b																					0
7241	483	7240	^^^ e-	0	from	from		539b	2	2010-08-09	1900-01-01	vagrant		https://pishoyg.github.io/crum/7241.html	<i><b>c</b></i> ⲉ-	<i><b>c</b></i> ⲉ-	c ⲉ-	c ⲉ-	ⲉ- (c)	ⲉ- (c)	-		from	from	from	from	from	from	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=539b	539	b	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	1
7242	483	7240	^^^ n- *^dat^*	0				539b	3	2010-08-09	1900-01-01	vagrant		https://pishoyg.github.io/crum/7242.html	<i><b>c</b></i> ⲛ- {dat}	<i><b>c</b></i> ⲛ- {dat}	c ⲛ- {dat}	c ⲛ- {dat}	ⲛ- {dat} (c)	ⲛ- {dat} (c)	-								https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=539b	539	b	ⲛ- {dat} (c)	ⲛ- {dat}	ⲛ- {dat} (c)	ⲛ- {dat}	ⲛ- {dat} (c)	ⲛ- {dat}	ⲛ- {dat} (c)	ⲛ- {dat}	ⲛ- {dat} (c)	ⲛ- {dat}	ⲛ- {dat} (c)	ⲛ- {dat}	ⲛ- {dat} (c)	ⲛ- {dat}	ⲛ- {dat} (c)	ⲛ- {dat}	ⲛ- {dat} (c)	ⲛ- {dat}	ⲛ- {dat} (c)	ⲛ- {dat}	1
7243	483	7240	^^^ ebol n-	0	from	from		539b	4	2010-08-09	1900-01-01	vagrant		https://pishoyg.github.io/crum/7243.html	<i><b>c</b></i> ⲉⲃⲟⲗ ⲛ-	<i><b>c</b></i> ⲉⲃⲟⲗ ⲛ-	c ⲉⲃⲟⲗ ⲛ-	c ⲉⲃⲟⲗ ⲛ-	ⲉⲃⲟⲗ ⲛ- (c)	ⲉⲃⲟⲗ ⲛ- (c)	-		from	from	from	from	from	from	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=539b	539	b	ⲉⲃⲟⲗ ⲛ- (c)	ⲉⲃⲟⲗ ⲛ-	ⲉⲃⲟⲗ ⲛ- (c)	ⲉⲃⲟⲗ ⲛ-	ⲉⲃⲟⲗ ⲛ- (c)	ⲉⲃⲟⲗ ⲛ-	ⲉⲃⲟⲗ ⲛ- (c)	ⲉⲃⲟⲗ ⲛ-	ⲉⲃⲟⲗ ⲛ- (c)	ⲉⲃⲟⲗ ⲛ-	ⲉⲃⲟⲗ ⲛ- (c)	ⲉⲃⲟⲗ ⲛ-	ⲉⲃⲟⲗ ⲛ- (c)	ⲉⲃⲟⲗ ⲛ-	ⲉⲃⲟⲗ ⲛ- (c)	ⲉⲃⲟⲗ ⲛ-	ⲉⲃⲟⲗ ⲛ- (c)	ⲉⲃⲟⲗ ⲛ-	ⲉⲃⲟⲗ ⲛ- (c)	ⲉⲃⲟⲗ ⲛ-	1
