key	key_word	key_deriv	word	type	cz	en	gr	crum	pos	added	updated	created_by	updated_by	key-link	word-parsed	word-parsed-no-ref	word-title	word-parsed-prettify	type-parsed	gr-parsed	en-parsed	en-parsed-no-greek	crum-link	dialect-S	dialect-Sa	dialect-Sf	dialect-A	dialect-sA	dialect-B	dialect-F	dialect-Fb	dialect-O	dialect-NH	depth
1365	481	0	r o.,oi no.	0	become clay, mud	become clay, mud		255a	1	2010-02-09	1900-01-01	vagrant		https://pishoyg.github.io/crum/1365.html	ⲣ ⲟ., ⲟⲓ ⲛⲟ.	ⲣ ⲟ., ⲟⲓ ⲛⲟ.	ⲣ ⲟ., ⲟⲓ ⲛⲟ.	"<span class=""word""><span class=""spelling"">ⲣ ⲟ.</span>, <span class=""spelling"">ⲟⲓ ⲛⲟ.</span></span>"	-		become clay, mud	become clay, mud	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=255a	ⲣ ⲟ., ⲟⲓ ⲛⲟ.	ⲣ ⲟ., ⲟⲓ ⲛⲟ.	ⲣ ⲟ., ⲟⲓ ⲛⲟ.	ⲣ ⲟ., ⲟⲓ ⲛⲟ.	ⲣ ⲟ., ⲟⲓ ⲛⲟ.	ⲣ ⲟ., ⲟⲓ ⲛⲟ.	ⲣ ⲟ., ⲟⲓ ⲛⲟ.	ⲣ ⲟ., ⲟⲓ ⲛⲟ.	ⲣ ⲟ., ⲟⲓ ⲛⲟ.	ⲣ ⲟ., ⲟⲓ ⲛⲟ.	0
1366	481	0	(S) am-	0	[amphrS] red clay, [Sourh namHat] white clay	[amphrS] red clay, [Sourh namHat] white clay		255a	2	2010-02-09	1900-01-01	vagrant		https://pishoyg.github.io/crum/1366.html	(S) ⲁⲙ-	(S) ⲁⲙ-	ⲁⲙ-	"<span class=""word S"">(<span class=""dialect S"">S</span>) <span class=""spelling S"">ⲁⲙ-</span></span>"	-		ⲁⲙⲡⲏⲣϣ red clay, ϣⲟⲩⲣⲏ ⲛⲁⲙϩⲁⲧ white clay	ⲁⲙⲡⲏⲣϣ red clay, ϣⲟⲩⲣⲏ ⲛⲁⲙϩⲁⲧ white clay	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=255a	ⲁⲙ-										0
1367	481	0	(S,B) ouamo. (S) mome	4	eartheater, (a rodent of devouring animal) | (rodent ulcer, gangrene)	eartheater, (a rodent of devouring animal) | (rodent ulcer, gangrene)		255a	3	2010-02-09	1900-01-01	vagrant		https://pishoyg.github.io/crum/1367.html	"(S, B) ⲟⲩⲁⲙⲟ.
(S) ⲙⲟⲙⲉ"	"(S, B) ⲟⲩⲁⲙⲟ.
(S) ⲙⲟⲙⲉ"	ⲟⲩⲁⲙⲟ., ⲙⲟⲙⲉ	"<span class=""word S B"">(<span class=""dialect S"">S</span>, <span class=""dialect B"">B</span>) <span class=""spelling S B"">ⲟⲩⲁⲙⲟ.</span> (ⲧ)</span>
<span class=""word S"">(<span class=""dialect S"">S</span>) <span class=""spelling S"">ⲙⲟⲙⲉ</span> (ⲧ)</span>"	noun female		"eartheater, <i>a rodent of devouring animal</i>
<i>rodent ulcer, gangrene</i>"	"eartheater, <i>a rodent of devouring animal</i>
<i>rodent ulcer, gangrene</i>"	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=255a	"ⲟⲩⲁⲙⲟ. (ⲧ)
ⲙⲟⲙⲉ (ⲧ)"					ⲟⲩⲁⲙⲟ. (ⲧ)					0
9021	481	1367	(S) r ..ou.	0	eat, spread (as gangrene)	eat, spread (as gangrene)		255a	4	2014-08-10	1900-01-01	vagrant		https://pishoyg.github.io/crum/9021.html	(S) ⲣ ⲟⲩ.	(S) ⲣ ⲟⲩ.	ⲣ ⲟⲩ.	"<span class=""word S"">(<span class=""dialect S"">S</span>) <span class=""spelling S"">ⲣ ⲟⲩ.</span></span>"	-		eat, spread <i>as gangrene</i>	eat, spread <i>as gangrene</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=255a	ⲣ ⲟⲩ.										1
1368	481	0	(B) *JaJo.	3	(metal agricultural tool, hoe ? pick ?)	(metal agricultural tool, hoe ? pick ?)		255a	5	2010-02-09	1900-01-01	vagrant		https://pishoyg.github.io/crum/1368.html	(B) <i>plural: </i>ϫⲁϫⲟ.	(B) <i>plural: </i>ϫⲁϫⲟ.	ϫⲁϫⲟ.	"<span class=""word B"">(<span class=""dialect B"">B</span>) <span class=""spelling B"">ϫⲁϫⲟ.</span> (ⲛ)</span>"	noun		<i>metal agricultural tool, hoe ? pick ?</i>	<i>metal agricultural tool, hoe ? pick ?</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=255a						ϫⲁϫⲟ. (ⲛ)					0
1785	482	0	(S) swwme,some= (Sf) saame-,saame=	0	rub, polish (/*same ?*/)	rub, polish (/*same ?*/)		334b	1	2010-02-13	1900-01-01	vagrant		https://pishoyg.github.io/crum/1785.html	"(S) ⲥⲱⲱⲙⲉ, ⲥⲟⲙⲉ=
(Sf) ⲥⲁⲁⲙⲉ-, ⲥⲁⲁⲙⲉ="	"(S) ⲥⲱⲱⲙⲉ, ⲥⲟⲙⲉ=
(Sf) ⲥⲁⲁⲙⲉ-, ⲥⲁⲁⲙⲉ="	ⲥⲱⲱⲙⲉ, ⲥⲟⲙⲉ=, ⲥⲁⲁⲙⲉ-, ⲥⲁⲁⲙⲉ=	"<span class=""word S"">(<span class=""dialect S"">S</span>) <span class=""spelling S"">ⲥⲱⲱⲙⲉ</span>, <span class=""spelling S"">ⲥⲟⲙⲉ=</span></span>
<span class=""word Sf"">(<span class=""dialect Sf"">Sf</span>) <span class=""spelling Sf"">ⲥⲁⲁⲙⲉ-</span>, <span class=""spelling Sf"">ⲥⲁⲁⲙⲉ=</span></span>"	-		rub, polish <i>(same ?)</i>	rub, polish <i>(same ?)</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=334b	ⲥⲱⲱⲙⲉ, ⲥⲟⲙⲉ=		ⲥⲁⲁⲙⲉ-, ⲥⲁⲁⲙⲉ=								0
7240	483	0		99	With following preposition:	With following preposition:		539b	1	2010-08-09	1900-01-01	vagrant		https://pishoyg.github.io/crum/7240.html					HEADER		With following preposition:	With following preposition:	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=539b											0
7241	483	7240	^^^ e-	0	from	from		539b	2	2010-08-09	1900-01-01	vagrant		https://pishoyg.github.io/crum/7241.html	<i><b>c</b></i> ⲉ-	<i><b>c</b></i> ⲉ-	ⲉ-	"<span class=""word""><span class=""spelling"">ⲉ-</span> (c)</span>"	-		from	from	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=539b	ⲉ- (c)	ⲉ- (c)	ⲉ- (c)	ⲉ- (c)	ⲉ- (c)	ⲉ- (c)	ⲉ- (c)	ⲉ- (c)	ⲉ- (c)	ⲉ- (c)	1
7242	483	7240	^^^ n- *^dat^*	0				539b	3	2010-08-09	1900-01-01	vagrant		https://pishoyg.github.io/crum/7242.html	<i><b>c</b></i> ⲛ- {dat}	<i><b>c</b></i> ⲛ- {dat}	ⲛ- {dat}	"<span class=""word""><span class=""spelling"">ⲛ- {dat}</span> (c)</span>"	-				https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=539b	ⲛ- {dat} (c)	ⲛ- {dat} (c)	ⲛ- {dat} (c)	ⲛ- {dat} (c)	ⲛ- {dat} (c)	ⲛ- {dat} (c)	ⲛ- {dat} (c)	ⲛ- {dat} (c)	ⲛ- {dat} (c)	ⲛ- {dat} (c)	1
7243	483	7240	^^^ ebol n-	0	from	from		539b	4	2010-08-09	1900-01-01	vagrant		https://pishoyg.github.io/crum/7243.html	<i><b>c</b></i> ⲉⲃⲟⲗ ⲛ-	<i><b>c</b></i> ⲉⲃⲟⲗ ⲛ-	ⲉⲃⲟⲗ ⲛ-	"<span class=""word""><span class=""spelling"">ⲉⲃⲟⲗ ⲛ-</span> (c)</span>"	-		from	from	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=539b	ⲉⲃⲟⲗ ⲛ- (c)	ⲉⲃⲟⲗ ⲛ- (c)	ⲉⲃⲟⲗ ⲛ- (c)	ⲉⲃⲟⲗ ⲛ- (c)	ⲉⲃⲟⲗ ⲛ- (c)	ⲉⲃⲟⲗ ⲛ- (c)	ⲉⲃⲟⲗ ⲛ- (c)	ⲉⲃⲟⲗ ⲛ- (c)	ⲉⲃⲟⲗ ⲛ- (c)	ⲉⲃⲟⲗ ⲛ- (c)	1
