key	key_word	key_deriv	word	type	cz	en	gr	crum	pos	added	updated	created_by	updated_by	key-link	word-parsed	word-parsed-no-ref	word-title	word-parsed-prettify	type-parsed	gr-parsed	en-parsed	en-parsed-no-greek	crum-link	dialect-S	dialect-Sa	dialect-Sf	dialect-A	dialect-sA	dialect-B	dialect-F	dialect-Fb	dialect-O	dialect-NH	depth
4869	206	4866	(S) ^^ eHrai	0	up	up		420a	14	2010-04-16	1900-01-01	vagrant		https://pishoyg.github.io/crum/4869.html	(S) ― ⲉϩⲣⲁⲓ	(S) ― ⲉϩⲣⲁⲓ	― ⲉϩⲣⲁⲓ	(S) ― ⲉϩⲣⲁⲓ	-		up	up	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=420a	― ⲉϩⲣⲁⲓ										1
2283	206	0	(S) Gint.	0	sending, mission	sending, mission		420a	15	2010-02-22	1900-01-01	vagrant		https://pishoyg.github.io/crum/2283.html	(S) ϭⲓⲛⲧ.	(S) ϭⲓⲛⲧ.	ϭⲓⲛⲧ.	(S) ϭⲓⲛⲧ.	-		sending, mission	sending, mission	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=420a	ϭⲓⲛⲧ.										0
1473	209	0	(S,B) ^^	1	service /$gk: [[leitourgia]]$/ | ordination	service /$gk: [[leitourgia]]$/ | ordination	leitourgia	279a	1	2010-02-10	2010-02-10	vagrant	vagrant	https://pishoyg.github.io/crum/1473.html	(S, B) ―	(S, B) ―	―	(S, B) ― (ⲡ)	noun male	λειτουργια	"service [λειτουργια]
ordination"	"service 
ordination"	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=279a	― (ⲡ)					― (ⲡ)					0
1474	209	0	(S,B,F) reFp.,reFf.	0	servant /$gk: [[leitourgos]]$/	servant /$gk: [[leitourgos]]$/	leitourgos	279a	2	2010-02-10	1900-01-01	vagrant		https://pishoyg.github.io/crum/1474.html	(S, B, F) ⲣⲉϥⲡ., ⲣⲉϥⲫ.	(S, B, F) ⲣⲉϥⲡ., ⲣⲉϥⲫ.	ⲣⲉϥⲡ., ⲣⲉϥⲫ.	(S, B, F) ⲣⲉϥⲡ., ⲣⲉϥⲫ.	-	λειτουργοσ	servant [λειτουργοσ]	servant	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=279a	ⲣⲉϥⲡ., ⲣⲉϥⲫ.					ⲣⲉϥⲡ., ⲣⲉϥⲫ.	ⲣⲉϥⲡ., ⲣⲉϥⲫ.				0
1475	209	0	(B) Jinf.	0	service /$gk: [[leitourgia]]$/	service /$gk: [[leitourgia]]$/	leitourgia	279a	3	2010-02-10	1900-01-01	vagrant		https://pishoyg.github.io/crum/1475.html	(B) ϫⲓⲛⲫ.	(B) ϫⲓⲛⲫ.	ϫⲓⲛⲫ.	(B) ϫⲓⲛⲫ.	-	λειτουργια	service [λειτουργια]	service	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=279a						ϫⲓⲛⲫ.					0
1476	209	0	(S) paSne (B) faSni	4	service /$gk: [[leitourgia]]$/ | ordination	service /$gk: [[leitourgia]]$/ | ordination	leitourgia	279a	4	2010-02-10	1900-01-01	vagrant		https://pishoyg.github.io/crum/1476.html	"(S) ⲡⲁϣⲛⲉ
(B) ⲫⲁϣⲛⲓ"	"(S) ⲡⲁϣⲛⲉ
(B) ⲫⲁϣⲛⲓ"	ⲡⲁϣⲛⲉ, ⲫⲁϣⲛⲓ	"(S) ⲡⲁϣⲛⲉ (ⲧ)
(B) ⲫⲁϣⲛⲓ (ⲧ)"	noun female	λειτουργια	"service [λειτουργια]
ordination"	"service 
ordination"	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=279a	ⲡⲁϣⲛⲉ (ⲧ)					ⲫⲁϣⲛⲓ (ⲧ)					0
1477	209	0	(S) paSnes	4	ordination /*?*/	ordination /*?*/		279a	5	2010-02-10	1900-01-01	vagrant		https://pishoyg.github.io/crum/1477.html	(S) ⲡⲁϣⲛⲉⲥ	(S) ⲡⲁϣⲛⲉⲥ	ⲡⲁϣⲛⲉⲥ	(S) ⲡⲁϣⲛⲉⲥ (ⲧ)	noun female		ordination (?)	ordination (?)	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=279a	ⲡⲁϣⲛⲉⲥ (ⲧ)										0
1478	209	0	(B) foSneF	1	ordination	ordination		279a	6	2010-02-10	1900-01-01	vagrant		https://pishoyg.github.io/crum/1478.html	(B) ⲫⲟϣⲛⲉϥ	(B) ⲫⲟϣⲛⲉϥ	ⲫⲟϣⲛⲉϥ	(B) ⲫⲟϣⲛⲉϥ (ⲡ)	noun male		ordination	ordination	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=279a						ⲫⲟϣⲛⲉϥ (ⲡ)					0
1230	210	0	noG nn.,niST nn.	0	great, long time	great, long time		235a	1	2010-02-06	1900-01-01	vagrant		https://pishoyg.github.io/crum/1230.html	ⲛⲟϭ ⲛⲛ., ⲛⲓϣϯ ⲛⲛ.	ⲛⲟϭ ⲛⲛ., ⲛⲓϣϯ ⲛⲛ.	ⲛⲟϭ ⲛⲛ., ⲛⲓϣϯ ⲛⲛ.	ⲛⲟϭ ⲛⲛ., ⲛⲓϣϯ ⲛⲛ.	-		great, long time	great, long time	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=235a	ⲛⲟϭ ⲛⲛ., ⲛⲓϣϯ ⲛⲛ.	ⲛⲟϭ ⲛⲛ., ⲛⲓϣϯ ⲛⲛ.	ⲛⲟϭ ⲛⲛ., ⲛⲓϣϯ ⲛⲛ.	ⲛⲟϭ ⲛⲛ., ⲛⲓϣϯ ⲛⲛ.	ⲛⲟϭ ⲛⲛ., ⲛⲓϣϯ ⲛⲛ.	ⲛⲟϭ ⲛⲛ., ⲛⲓϣϯ ⲛⲛ.	ⲛⲟϭ ⲛⲛ., ⲛⲓϣϯ ⲛⲛ.	ⲛⲟϭ ⲛⲛ., ⲛⲓϣϯ ⲛⲛ.	ⲛⲟϭ ⲛⲛ., ⲛⲓϣϯ ⲛⲛ.	ⲛⲟϭ ⲛⲛ., ⲛⲓϣϯ ⲛⲛ.	0
1229	210	0	(S) nou	0	(only for periods of day as above)	(only for periods of day as above)		235a	2	2010-02-06	1900-01-01	vagrant		https://pishoyg.github.io/crum/1229.html	(S) ⲛⲟⲩ	(S) ⲛⲟⲩ	ⲛⲟⲩ	(S) ⲛⲟⲩ	-		<i>only for periods of day as above</i>	<i>only for periods of day as above</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=235a	ⲛⲟⲩ										0
