key	key_word	key_deriv	word	type	cz	en	gr	crum	pos	added	updated	created_by	updated_by	key-link	word-parsed	word-parsed-classify	word-title	word-parsed-prettify	type-parsed	gr-parsed	en-parsed	en-parsed-no-greek	crum-link	dialect-S	dialect-Sa	dialect-Sf	dialect-A	dialect-sA	dialect-B	dialect-F	dialect-Fb	dialect-O	dialect-NH	depth
8670	2644	8662	^^^ HiJen-	0				836b	9	2010-08-15	1900-01-01	vagrant		https://pishoyg.github.io/crum/8670.html	<i><b>c</b></i> ϩⲓϫⲉⲛ-	"<span class=""word""><span class=""spelling""><i><b>c</b></i> ϩⲓϫⲉⲛ-</span></span>"	ϩⲓϫⲉⲛ-	"<span class=""word""><span class=""spelling"">ϩⲓϫⲉⲛ-</span> (c)</span>"	-				https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=836b	ϩⲓϫⲉⲛ- (c)	ϩⲓϫⲉⲛ- (c)	ϩⲓϫⲉⲛ- (c)	ϩⲓϫⲉⲛ- (c)	ϩⲓϫⲉⲛ- (c)	ϩⲓϫⲉⲛ- (c)	ϩⲓϫⲉⲛ- (c)	ϩⲓϫⲉⲛ- (c)	ϩⲓϫⲉⲛ- (c)	ϩⲓϫⲉⲛ- (c)	1
8671	2644	0		99	With following adverb:	With following adverb:		836b	10	2010-08-15	1900-01-01	vagrant		https://pishoyg.github.io/crum/8671.html					HEADER		With following adverb:	With following adverb:	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=836b											0
8672	2644	8671	^^^ ebol	0	 | (as nn m)	 | (as nn m)		836b	11	2010-08-15	2010-08-15	vagrant	vagrant	https://pishoyg.github.io/crum/8672.html	<i><b>c</b></i> ⲉⲃⲟⲗ	"<span class=""word""><span class=""spelling""><i><b>c</b></i> ⲉⲃⲟⲗ</span></span>"	ⲉⲃⲟⲗ	"<span class=""word""><span class=""spelling"">ⲉⲃⲟⲗ</span> (c)</span>"	-		| <i>as nn m</i>	| <i>as nn m</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=836b	ⲉⲃⲟⲗ (c)	ⲉⲃⲟⲗ (c)	ⲉⲃⲟⲗ (c)	ⲉⲃⲟⲗ (c)	ⲉⲃⲟⲗ (c)	ⲉⲃⲟⲗ (c)	ⲉⲃⲟⲗ (c)	ⲉⲃⲟⲗ (c)	ⲉⲃⲟⲗ (c)	ⲉⲃⲟⲗ (c)	1
8673	2644	8671	^^^ epesht	0				837a	12	2010-08-15	1900-01-01	vagrant		https://pishoyg.github.io/crum/8673.html	<i><b>c</b></i> ⲉⲡⲉⲥⲏⲧ	"<span class=""word""><span class=""spelling""><i><b>c</b></i> ⲉⲡⲉⲥⲏⲧ</span></span>"	ⲉⲡⲉⲥⲏⲧ	"<span class=""word""><span class=""spelling"">ⲉⲡⲉⲥⲏⲧ</span> (c)</span>"	-				https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=837a	ⲉⲡⲉⲥⲏⲧ (c)	ⲉⲡⲉⲥⲏⲧ (c)	ⲉⲡⲉⲥⲏⲧ (c)	ⲉⲡⲉⲥⲏⲧ (c)	ⲉⲡⲉⲥⲏⲧ (c)	ⲉⲡⲉⲥⲏⲧ (c)	ⲉⲡⲉⲥⲏⲧ (c)	ⲉⲡⲉⲥⲏⲧ (c)	ⲉⲡⲉⲥⲏⲧ (c)	ⲉⲡⲉⲥⲏⲧ (c)	1
4083	2644	0	^^	0	pouring, confusion	pouring, confusion		837a	13	2010-04-01	1900-01-01	vagrant		https://pishoyg.github.io/crum/4083.html	―	"<span class=""word""><span class=""spelling"">―</span></span>"	―	"<span class=""word""><span class=""spelling"">―</span></span>"	-		pouring, confusion	pouring, confusion	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=837a	―	―	―	―	―	―	―	―	―	―	0
4084	2644	0	atJ.	0	unmixed	unmixed		837a	14	2010-04-01	1900-01-01	vagrant		https://pishoyg.github.io/crum/4084.html	ⲁⲧϫ.	"<span class=""word""><span class=""spelling"">ⲁⲧϫ.</span></span>"	ⲁⲧϫ.	"<span class=""word""><span class=""spelling"">ⲁⲧϫ.</span></span>"	-		unmixed	unmixed	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=837a	ⲁⲧϫ.	ⲁⲧϫ.	ⲁⲧϫ.	ⲁⲧϫ.	ⲁⲧϫ.	ⲁⲧϫ.	ⲁⲧϫ.	ⲁⲧϫ.	ⲁⲧϫ.	ⲁⲧϫ.	0
8680	2652	0		99	With following preposition:	With following preposition:		840b	1	2010-08-15	1900-01-01	vagrant		https://pishoyg.github.io/crum/8680.html					HEADER		With following preposition:	With following preposition:	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=840b											0
8681	2652	8680	^^^ e-	0				840b	2	2010-08-15	1900-01-01	vagrant		https://pishoyg.github.io/crum/8681.html	<i><b>c</b></i> ⲉ-	"<span class=""word""><span class=""spelling""><i><b>c</b></i> ⲉ-</span></span>"	ⲉ-	"<span class=""word""><span class=""spelling"">ⲉ-</span> (c)</span>"	-				https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=840b	ⲉ- (c)	ⲉ- (c)	ⲉ- (c)	ⲉ- (c)	ⲉ- (c)	ⲉ- (c)	ⲉ- (c)	ⲉ- (c)	ⲉ- (c)	ⲉ- (c)	1
8682	2652	8680	^^^ ebol e-	0				840b	3	2010-08-15	1900-01-01	vagrant		https://pishoyg.github.io/crum/8682.html	<i><b>c</b></i> ⲉⲃⲟⲗ ⲉ-	"<span class=""word""><span class=""spelling""><i><b>c</b></i> ⲉⲃⲟⲗ ⲉ-</span></span>"	ⲉⲃⲟⲗ ⲉ-	"<span class=""word""><span class=""spelling"">ⲉⲃⲟⲗ ⲉ-</span> (c)</span>"	-				https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=840b	ⲉⲃⲟⲗ ⲉ- (c)	ⲉⲃⲟⲗ ⲉ- (c)	ⲉⲃⲟⲗ ⲉ- (c)	ⲉⲃⲟⲗ ⲉ- (c)	ⲉⲃⲟⲗ ⲉ- (c)	ⲉⲃⲟⲗ ⲉ- (c)	ⲉⲃⲟⲗ ⲉ- (c)	ⲉⲃⲟⲗ ⲉ- (c)	ⲉⲃⲟⲗ ⲉ- (c)	ⲉⲃⲟⲗ ⲉ- (c)	1
8683	2652	8680	^^^ eKoun e-	0				840b	4	2010-08-15	1900-01-01	vagrant		https://pishoyg.github.io/crum/8683.html	<i><b>c</b></i> ⲉϧⲟⲩⲛ ⲉ-	"<span class=""word""><span class=""spelling""><i><b>c</b></i> ⲉϧⲟⲩⲛ ⲉ-</span></span>"	ⲉϧⲟⲩⲛ ⲉ-	"<span class=""word""><span class=""spelling"">ⲉϧⲟⲩⲛ ⲉ-</span> (c)</span>"	-				https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=840b	ⲉϧⲟⲩⲛ ⲉ- (c)	ⲉϧⲟⲩⲛ ⲉ- (c)	ⲉϧⲟⲩⲛ ⲉ- (c)	ⲉϧⲟⲩⲛ ⲉ- (c)	ⲉϧⲟⲩⲛ ⲉ- (c)	ⲉϧⲟⲩⲛ ⲉ- (c)	ⲉϧⲟⲩⲛ ⲉ- (c)	ⲉϧⲟⲩⲛ ⲉ- (c)	ⲉϧⲟⲩⲛ ⲉ- (c)	ⲉϧⲟⲩⲛ ⲉ- (c)	1
