key	key_word	key_deriv	word	type	cz	en	gr	crum	pos	added	updated	created_by	updated_by	key-link	word-parsed	word-parsed-no-ref	word-parsed-no-html	word-parsed-no-ref-no-html	word-title	word-parsed-prettify	type-parsed	gr-parsed	en-parsed	en-parsed-no-html	en-parsed-no-greek	en-parsed-light-greek	en-parsed-link-light-greek	en-parsed-no-greek-no-html	crum-link	crum-page	crum-column	dialect-S	lemma-S	dialect-Sa	lemma-Sa	dialect-Sf	lemma-Sf	dialect-A	lemma-A	dialect-sA	lemma-sA	dialect-B	lemma-B	dialect-F	lemma-F	dialect-Fb	lemma-Fb	dialect-O	lemma-O	dialect-NH	lemma-NH	depth
4056	703	4055	(S) eire G.,r G.	0	 /$gk: [[enedreuein]]$/	 /$gk: [[enedreuein]]$/	enedreuein	830b	13	2010-04-01	1900-01-01	vagrant		https://pishoyg.github.io/crum/4056.html	(S) ⲉⲓⲣⲉ ϭ., ⲣ ϭ.	(S) ⲉⲓⲣⲉ ϭ., ⲣ ϭ.	(S) ⲉⲓⲣⲉ ϭ., ⲣ ϭ.	(S) ⲉⲓⲣⲉ ϭ., ⲣ ϭ.	ⲉⲓⲣⲉ ϭ., ⲣ ϭ.	(S) ⲉⲓⲣⲉ ϭ., ⲣ ϭ.	-	ενεδρευειν	[ενεδρευειν]	[ενεδρευειν]		"<span style=""opacity:0.7"">[ενεδρευειν]</span>"	"<span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%B5%CE%BD%CE%B5%CE%B4%CF%81%CE%B5%CF%85%CE%B5%CE%B9%CE%BD"">ενεδρευειν</a>]</span>"		https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=830b	830	b	ⲉⲓⲣⲉ ϭ., ⲣ ϭ.	ⲉⲓⲣⲉ ϭ.																			1
4057	703	0	(S,A,sA) GerhG (B) JerhJ (F) GrhG (S) *GeraGe (A,sA) *GereGe	1	hunter /$gk: [[qhreuths, kunhgos, ijeuths]]$/	hunter /$gk: [[qhreuths, kunhgos, ijeuths]]$/	qhreuths, kunhgos, ijeuths	831a	14	2010-04-01	2010-04-01	vagrant	vagrant	https://pishoyg.github.io/crum/4057.html	"(S, A, sA) ϭⲉⲣⲏϭ
(B) ϫⲉⲣⲏϫ
(F) ϭⲣⲏϭ
(S) <i>plural: </i>ϭⲉⲣⲁϭⲉ
(A, sA) <i>plural: </i>ϭⲉⲣⲉϭⲉ"	"(S, A, sA) ϭⲉⲣⲏϭ
(B) ϫⲉⲣⲏϫ
(F) ϭⲣⲏϭ
(S) <i>plural: </i>ϭⲉⲣⲁϭⲉ
(A, sA) <i>plural: </i>ϭⲉⲣⲉϭⲉ"	"(S, A, sA) ϭⲉⲣⲏϭ
(B) ϫⲉⲣⲏϫ
(F) ϭⲣⲏϭ
(S) plural: ϭⲉⲣⲁϭⲉ
(A, sA) plural: ϭⲉⲣⲉϭⲉ"	"(S, A, sA) ϭⲉⲣⲏϭ
(B) ϫⲉⲣⲏϫ
(F) ϭⲣⲏϭ
(S) plural: ϭⲉⲣⲁϭⲉ
(A, sA) plural: ϭⲉⲣⲉϭⲉ"	ϭⲉⲣⲏϭ, ϫⲉⲣⲏϫ, ϭⲣⲏϭ, ϭⲉⲣⲁϭⲉ (ⲛ), ϭⲉⲣⲉϭⲉ (ⲛ)	"(S, A, sA) ϭⲉⲣⲏϭ (ⲡ)
(B) ϫⲉⲣⲏϫ (ⲡ)
(F) ϭⲣⲏϭ (ⲡ)
(S) ϭⲉⲣⲁϭⲉ (ⲛ)
(A, sA) ϭⲉⲣⲉϭⲉ (ⲛ)"	noun male	θηρευτησ, κυνηγοσ, ιξευτησ	hunter [θηρευτησ, κυνηγοσ, ιξευτησ]	hunter [θηρευτησ, κυνηγοσ, ιξευτησ]	hunter	"hunter <span style=""opacity:0.7"">[θηρευτησ, κυνηγοσ, ιξευτησ]</span>"	"hunter <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%B8%CE%B7%CF%81%CE%B5%CF%85%CF%84%CE%B7%CF%83"">θηρευτησ</a>, <a href=""https://logeion.uchicago.edu/%CE%BA%CF%85%CE%BD%CE%B7%CE%B3%CE%BF%CF%83"">κυνηγοσ</a>, <a href=""https://logeion.uchicago.edu/%CE%B9%CE%BE%CE%B5%CF%85%CF%84%CE%B7%CF%83"">ιξευτησ</a>]</span>"	hunter	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=831a	831	a	"ϭⲉⲣⲏϭ (ⲡ)
ϭⲉⲣⲁϭⲉ (ⲛ)"	ϭⲉⲣⲏϭ					"ϭⲉⲣⲏϭ (ⲡ)
ϭⲉⲣⲉϭⲉ (ⲛ)"	ϭⲉⲣⲏϭ	"ϭⲉⲣⲏϭ (ⲡ)
ϭⲉⲣⲉϭⲉ (ⲛ)"	ϭⲉⲣⲏϭ	ϫⲉⲣⲏϫ (ⲡ)	ϫⲉⲣⲏϫ	ϭⲣⲏϭ (ⲡ)	ϭⲣⲏϭ							0
4058	703	4057	(B) metJ.	0	 /$gk: [[kunhgein]]$/	 /$gk: [[kunhgein]]$/	kunhgein	831a	15	2010-04-01	1900-01-01	vagrant		https://pishoyg.github.io/crum/4058.html	(B) ⲙⲉⲧϫ.	(B) ⲙⲉⲧϫ.	(B) ⲙⲉⲧϫ.	(B) ⲙⲉⲧϫ.	ⲙⲉⲧϫ.	(B) ⲙⲉⲧϫ.	-	κυνηγειν	[κυνηγειν]	[κυνηγειν]		"<span style=""opacity:0.7"">[κυνηγειν]</span>"	"<span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%BA%CF%85%CE%BD%CE%B7%CE%B3%CE%B5%CE%B9%CE%BD"">κυνηγειν</a>]</span>"		https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=831a	831	a											ⲙⲉⲧϫ.	ⲙⲉⲧϫ.									1
5588	704	0		99	qual :	qual :		163b	1	2010-06-06	1900-01-01	vagrant		https://pishoyg.github.io/crum/5588.html							HEADER		qual :	qual :	qual :	qual :	qual :	qual :	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=163b	163	b																					0
5589	704	5588	^^^ n-,^^^ e-,^^^ etre-	0	often = [[dus-]], difficult, hard to	often = [[dus-]], difficult, hard to		163b	2	2010-06-06	1900-01-01	vagrant		https://pishoyg.github.io/crum/5589.html	<i><b>c</b></i> ⲛ-, <i><b>c</b></i> ⲉ-, <i><b>c</b></i> ⲉⲧⲣⲉ-	<i><b>c</b></i> ⲛ-, <i><b>c</b></i> ⲉ-, <i><b>c</b></i> ⲉⲧⲣⲉ-	c ⲛ-, c ⲉ-, c ⲉⲧⲣⲉ-	c ⲛ-, c ⲉ-, c ⲉⲧⲣⲉ-	ⲛ-, ⲉ-, ⲉⲧⲣⲉ- (c)	ⲛ-, ⲉ-, ⲉⲧⲣⲉ- (c)	-		often = δυσ- , difficult, hard to	often = δυσ- , difficult, hard to	often = δυσ- , difficult, hard to	often = δυσ- , difficult, hard to	"often = <a href=""https://logeion.uchicago.edu/%CE%B4%CF%85%CF%83"">δυσ</a>- , difficult, hard to"	often = δυσ- , difficult, hard to	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=163b	163	b	ⲛ-, ⲉ-, ⲉⲧⲣⲉ- (c)	ⲛ-	ⲛ-, ⲉ-, ⲉⲧⲣⲉ- (c)	ⲛ-	ⲛ-, ⲉ-, ⲉⲧⲣⲉ- (c)	ⲛ-	ⲛ-, ⲉ-, ⲉⲧⲣⲉ- (c)	ⲛ-	ⲛ-, ⲉ-, ⲉⲧⲣⲉ- (c)	ⲛ-	ⲛ-, ⲉ-, ⲉⲧⲣⲉ- (c)	ⲛ-	ⲛ-, ⲉ-, ⲉⲧⲣⲉ- (c)	ⲛ-	ⲛ-, ⲉ-, ⲉⲧⲣⲉ- (c)	ⲛ-	ⲛ-, ⲉ-, ⲉⲧⲣⲉ- (c)	ⲛ-	ⲛ-, ⲉ-, ⲉⲧⲣⲉ- (c)	ⲛ-	1
5590	704	5588	^^^ e-	0	(of painful part) | (or as dat commodi)	(of painful part) | (or as dat commodi)		163b	3	2010-06-06	1900-01-01	vagrant		https://pishoyg.github.io/crum/5590.html	<i><b>c</b></i> ⲉ-	<i><b>c</b></i> ⲉ-	c ⲉ-	c ⲉ-	ⲉ- (c)	ⲉ- (c)	-		"<i>of painful part</i>
<i>or as dat commodi</i>"	"of painful part
or as dat commodi"	"<i>of painful part</i>
<i>or as dat commodi</i>"	"<i>of painful part</i>
<i>or as dat commodi</i>"	"<i>of painful part</i>
<i>or as dat commodi</i>"	"of painful part
or as dat commodi"	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=163b	163	b	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	1
5591	704	5588	^^^ mn-	0				163b	4	2010-06-06	1900-01-01	vagrant		https://pishoyg.github.io/crum/5591.html	<i><b>c</b></i> ⲙⲛ-	<i><b>c</b></i> ⲙⲛ-	c ⲙⲛ-	c ⲙⲛ-	ⲙⲛ- (c)	ⲙⲛ- (c)	-								https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=163b	163	b	ⲙⲛ- (c)	ⲙⲛ-	ⲙⲛ- (c)	ⲙⲛ-	ⲙⲛ- (c)	ⲙⲛ-	ⲙⲛ- (c)	ⲙⲛ-	ⲙⲛ- (c)	ⲙⲛ-	ⲙⲛ- (c)	ⲙⲛ-	ⲙⲛ- (c)	ⲙⲛ-	ⲙⲛ- (c)	ⲙⲛ-	ⲙⲛ- (c)	ⲙⲛ-	ⲙⲛ- (c)	ⲙⲛ-	1
774	704	0	(S,A,sA) ^^ (S,A,sA) *mkooH (B) *mkauH	1	pain, difficulty, grief /$gk: [[algos, odunh]]$/	pain, difficulty, grief /$gk: [[algos, odunh]]$/	algos, odunh	163b	5	2010-02-03	1900-01-01	vagrant		https://pishoyg.github.io/crum/774.html	"(S, A, sA) ―
(S, A, sA) <i>plural: </i>ⲙⲕⲟⲟϩ
(B) <i>plural: </i>ⲙⲕⲁⲩϩ"	"(S, A, sA) ―
(S, A, sA) <i>plural: </i>ⲙⲕⲟⲟϩ
(B) <i>plural: </i>ⲙⲕⲁⲩϩ"	"(S, A, sA) ―
(S, A, sA) plural: ⲙⲕⲟⲟϩ
(B) plural: ⲙⲕⲁⲩϩ"	"(S, A, sA) ―
(S, A, sA) plural: ⲙⲕⲟⲟϩ
(B) plural: ⲙⲕⲁⲩϩ"	―, ⲙⲕⲟⲟϩ (ⲛ), ⲙⲕⲁⲩϩ (ⲛ)	"(S, A, sA) ― (ⲡ)
(S, A, sA) ⲙⲕⲟⲟϩ (ⲛ)
(B) ⲙⲕⲁⲩϩ (ⲛ)"	noun male	αλγοσ, οδυνη	pain, difficulty, grief [αλγοσ, οδυνη]	pain, difficulty, grief [αλγοσ, οδυνη]	pain, difficulty, grief	"pain, difficulty, grief <span style=""opacity:0.7"">[αλγοσ, οδυνη]</span>"	"pain, difficulty, grief <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%B1%CE%BB%CE%B3%CE%BF%CF%83"">αλγοσ</a>, <a href=""https://logeion.uchicago.edu/%CE%BF%CE%B4%CF%85%CE%BD%CE%B7"">οδυνη</a>]</span>"	pain, difficulty, grief	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=163b	163	b	"― (ⲡ)
ⲙⲕⲟⲟϩ (ⲛ)"	―					"― (ⲡ)
ⲙⲕⲟⲟϩ (ⲛ)"	―	"― (ⲡ)
ⲙⲕⲟⲟϩ (ⲛ)"	―	ⲙⲕⲁⲩϩ (ⲛ)	ⲙⲕⲁⲩϩ									0
775	704	0	(B) atm.	6	without pain	without pain		164a	6	2010-02-03	1900-01-01	vagrant		https://pishoyg.github.io/crum/775.html	(B) ⲁⲧⲙ.	(B) ⲁⲧⲙ.	(B) ⲁⲧⲙ.	(B) ⲁⲧⲙ.	ⲁⲧⲙ.	(B) ⲁⲧⲙ. (adj.)	adjective		without pain	without pain	without pain	without pain	without pain	without pain	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=164a	164	a											ⲁⲧⲙ. (adj.)	ⲁⲧⲙ.									0
776	704	0	(S,B) r m.	0	be pained, grieved /$gk: [[ponein]]$/	be pained, grieved /$gk: [[ponein]]$/	ponein	164a	7	2010-02-03	1900-01-01	vagrant		https://pishoyg.github.io/crum/776.html	(S, B) ⲣ ⲙ.	(S, B) ⲣ ⲙ.	(S, B) ⲣ ⲙ.	(S, B) ⲣ ⲙ.	ⲣ ⲙ.	(S, B) ⲣ ⲙ.	-	πονειν	be pained, grieved [πονειν]	be pained, grieved [πονειν]	be pained, grieved	"be pained, grieved <span style=""opacity:0.7"">[πονειν]</span>"	"be pained, grieved <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CF%80%CE%BF%CE%BD%CE%B5%CE%B9%CE%BD"">πονειν</a>]</span>"	be pained, grieved	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=164a	164	a	ⲣ ⲙ.	ⲣ ⲙ.									ⲣ ⲙ.	ⲣ ⲙ.									0
