key	key_word	key_deriv	word	type	cz	en	gr	crum	pos	added	updated	created_by	updated_by	key-link	word-parsed	word-parsed-classify	word-title	word-parsed-prettify	type-parsed	gr-parsed	en-parsed	en-parsed-no-greek	crum-link	dialect-S	dialect-Sa	dialect-Sf	dialect-A	dialect-sA	dialect-B	dialect-F	dialect-Fb	dialect-O	dialect-NH	depth
3539	2245	0	(B) atK.,metatK.	0	lack of food	lack of food		701a	1	2010-03-25	1900-01-01	vagrant		https://pishoyg.github.io/crum/3539.html	(B) ⲁⲧϧ., ⲙⲉⲧⲁⲧϧ.	"<span class=""word B""><span class=""dialect-parenthesis"">(</span><span class=""dialect B"">B</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling B"">ⲁⲧϧ.</span><span class=""spelling-comma"">, </span><span class=""spelling B"">ⲙⲉⲧⲁⲧϧ.</span></span>"	ⲁⲧϧ., ⲙⲉⲧⲁⲧϧ.	"<span class=""word B""><span class=""dialect-parenthesis"">(</span><span class=""dialect B"">B</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling B"">ⲁⲧϧ.</span><span class=""spelling-comma"">, </span><span class=""spelling B"">ⲙⲉⲧⲁⲧϧ.</span></span>"	-		lack of food	lack of food	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=701a						ⲁⲧϧ., ⲙⲉⲧⲁⲧϧ.					0
3540	2245	0	r H.,o nH.	0	become, be food	become, be food		701a	2	2010-03-25	1900-01-01	vagrant		https://pishoyg.github.io/crum/3540.html	ⲣ ϩ., ⲟ ⲛϩ.	"<span class=""word""><span class=""spelling"">ⲣ ϩ.</span><span class=""spelling-comma"">, </span><span class=""spelling"">ⲟ ⲛϩ.</span></span>"	ⲣ ϩ., ⲟ ⲛϩ.	"<span class=""word""><span class=""spelling"">ⲣ ϩ.</span><span class=""spelling-comma"">, </span><span class=""spelling"">ⲟ ⲛϩ.</span></span>"	-		become, be food	become, be food	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=701a	ⲣ ϩ., ⲟ ⲛϩ.	ⲣ ϩ., ⲟ ⲛϩ.	ⲣ ϩ., ⲟ ⲛϩ.	ⲣ ϩ., ⲟ ⲛϩ.	ⲣ ϩ., ⲟ ⲛϩ.	ⲣ ϩ., ⲟ ⲛϩ.	ⲣ ϩ., ⲟ ⲛϩ.	ⲣ ϩ., ⲟ ⲛϩ.	ⲣ ϩ., ⲟ ⲛϩ.	ⲣ ϩ., ⲟ ⲛϩ.	0
3541	2245	0	T H.,T $^n^$ouH.	0	give food	give food		701a	3	2010-03-25	1900-01-01	vagrant		https://pishoyg.github.io/crum/3541.html	ϯ ϩ., ϯ (ⲛ)ⲟⲩϩ.	"<span class=""word""><span class=""spelling"">ϯ ϩ.</span><span class=""spelling-comma"">, </span><span class=""spelling"">ϯ (ⲛ)ⲟⲩϩ.</span></span>"	ϯ ϩ., ϯ ⲟⲩϩ., ϯ ⲛⲟⲩϩ.	"<span class=""word""><span class=""spelling"">ϯ ϩ.</span><span class=""spelling-comma"">, </span><span class=""spelling"">ϯ ⲟⲩϩ.</span><span class=""spelling-comma"">, </span><span class=""spelling"">ϯ ⲛⲟⲩϩ.</span></span>"	-		give food	give food	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=701a	ϯ ϩ., ϯ ⲟⲩϩ., ϯ ⲛⲟⲩϩ.	ϯ ϩ., ϯ ⲟⲩϩ., ϯ ⲛⲟⲩϩ.	ϯ ϩ., ϯ ⲟⲩϩ., ϯ ⲛⲟⲩϩ.	ϯ ϩ., ϯ ⲟⲩϩ., ϯ ⲛⲟⲩϩ.	ϯ ϩ., ϯ ⲟⲩϩ., ϯ ⲛⲟⲩϩ.	ϯ ϩ., ϯ ⲟⲩϩ., ϯ ⲛⲟⲩϩ.	ϯ ϩ., ϯ ⲟⲩϩ., ϯ ⲛⲟⲩϩ.	ϯ ϩ., ϯ ⲟⲩϩ., ϯ ⲛⲟⲩϩ.	ϯ ϩ., ϯ ⲟⲩϩ., ϯ ⲛⲟⲩϩ.	ϯ ϩ., ϯ ⲟⲩϩ., ϯ ⲛⲟⲩϩ.	0
3542	2245	0	Ji H.	0	get fodder	get fodder		701a	4	2010-03-25	1900-01-01	vagrant		https://pishoyg.github.io/crum/3542.html	ϫⲓ ϩ.	"<span class=""word""><span class=""spelling"">ϫⲓ ϩ.</span></span>"	ϫⲓ ϩ.	"<span class=""word""><span class=""spelling"">ϫⲓ ϩ.</span></span>"	-		get fodder	get fodder	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=701a	ϫⲓ ϩ.	ϫⲓ ϩ.	ϫⲓ ϩ.	ϫⲓ ϩ.	ϫⲓ ϩ.	ϫⲓ ϩ.	ϫⲓ ϩ.	ϫⲓ ϩ.	ϫⲓ ϩ.	ϫⲓ ϩ.	0
3543	2245	0	(B) Gi K.	0	take food	take food		701b	5	2010-03-25	1900-01-01	vagrant		https://pishoyg.github.io/crum/3543.html	(B) ϭⲓ ϧ.	"<span class=""word B""><span class=""dialect-parenthesis"">(</span><span class=""dialect B"">B</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling B"">ϭⲓ ϧ.</span></span>"	ϭⲓ ϧ.	"<span class=""word B""><span class=""dialect-parenthesis"">(</span><span class=""dialect B"">B</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling B"">ϭⲓ ϧ.</span></span>"	-		take food	take food	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=701b						ϭⲓ ϧ.					0
3544	2245	3543	reF..Gi K.	0	taking, needing food	taking, needing food		701b	6	2010-03-25	2010-03-26	vagrant	vagrant	https://pishoyg.github.io/crum/3544.html	ⲣⲉϥϭⲓ ϧ.	"<span class=""word""><span class=""spelling"">ⲣⲉϥϭⲓ ϧ.</span></span>"	ⲣⲉϥϭⲓ ϧ.	"<span class=""word""><span class=""spelling"">ⲣⲉϥϭⲓ ϧ.</span></span>"	-		taking, needing food	taking, needing food	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=701b	ⲣⲉϥϭⲓ ϧ.	ⲣⲉϥϭⲓ ϧ.	ⲣⲉϥϭⲓ ϧ.	ⲣⲉϥϭⲓ ϧ.	ⲣⲉϥϭⲓ ϧ.	ⲣⲉϥϭⲓ ϧ.	ⲣⲉϥϭⲓ ϧ.	ⲣⲉϥϭⲓ ϧ.	ⲣⲉϥϭⲓ ϧ.	ⲣⲉϥϭⲓ ϧ.	1
3545	2247	0	Ji H.	0	take form, likeness /$gk: [[omoiousqai]]$/	take form, likeness /$gk: [[omoiousqai]]$/	omoiousqai	701b	1	2010-03-25	1900-01-01	vagrant		https://pishoyg.github.io/crum/3545.html	ϫⲓ ϩ.	"<span class=""word""><span class=""spelling"">ϫⲓ ϩ.</span></span>"	ϫⲓ ϩ.	"<span class=""word""><span class=""spelling"">ϫⲓ ϩ.</span></span>"	-	ομοιουσθαι	take form, likeness [ομοιουσθαι]	take form, likeness	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=701b	ϫⲓ ϩ.	ϫⲓ ϩ.	ϫⲓ ϩ.	ϫⲓ ϩ.	ϫⲓ ϩ.	ϫⲓ ϩ.	ϫⲓ ϩ.	ϫⲓ ϩ.	ϫⲓ ϩ.	ϫⲓ ϩ.	0
7957	2247	3545	^^^ n-	0				701b	2	2010-08-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/7957.html	<i><b>c</b></i> ⲛ-	"<span class=""word""><span class=""spelling""><i><b>c</b></i> ⲛ-</span></span>"	ⲛ-	"<span class=""word""><span class=""spelling"">ⲛ-</span> <span class=""type"">(c)</span></span>"	-				https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=701b	ⲛ- (c)	ⲛ- (c)	ⲛ- (c)	ⲛ- (c)	ⲛ- (c)	ⲛ- (c)	ⲛ- (c)	ⲛ- (c)	ⲛ- (c)	ⲛ- (c)	1
7958	2247	3545	(S) ^^^ Hn-	0				701b	3	2010-08-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/7958.html	(S) <i><b>c</b></i> ϩⲛ-	"<span class=""word S""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S""><i><b>c</b></i> ϩⲛ-</span></span>"	ϩⲛ-	"<span class=""word S""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S"">ϩⲛ-</span> <span class=""type S"">(c)</span></span>"	-				https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=701b	ϩⲛ- (c)										1
7959	2247	3545	(S) Gin..Ji H.	0				702a	4	2010-08-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/7959.html	(S) ϭⲓⲛϫⲓ ϩ.	"<span class=""word S""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S"">ϭⲓⲛϫⲓ ϩ.</span></span>"	ϭⲓⲛϫⲓ ϩ.	"<span class=""word S""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S"">ϭⲓⲛϫⲓ ϩ.</span></span>"	-				https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=702a	ϭⲓⲛϫⲓ ϩ.										1
