key	key_word	key_deriv	word	type	cz	en	gr	crum	pos	added	updated	created_by	updated_by	key-link	word-parsed	word-parsed-no-ref	word-parsed-no-html	word-parsed-no-ref-no-html	word-parsed-prettify	type-parsed	gr-parsed	en-parsed	en-parsed-no-html	en-parsed-no-greek	en-parsed-light-greek	en-parsed-link-light-greek	en-parsed-no-greek-no-html	crum-link	crum-page	crum-column	dialect-S	lemma-S	dialect-Sa	lemma-Sa	dialect-Sf	lemma-Sf	dialect-A	lemma-A	dialect-sA	lemma-sA	dialect-B	lemma-B	dialect-F	lemma-F	dialect-Fb	lemma-Fb	dialect-O	lemma-O	dialect-NH	lemma-NH	depth
6118	282	0		99	With following adverb:	With following adverb:		321a	10	2010-07-10	1900-01-01	vagrant		https://pishoyg.github.io/crum/6118.html						HEADER		With following adverb:	With following adverb:	With following adverb:	With following adverb:	With following adverb:	With following adverb:	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=321a	321	a																					0
6119	282	6118	(B) ^^^ epSwi	0				321a	11	2010-07-10	1900-01-01	vagrant		https://pishoyg.github.io/crum/6119.html	(B) <i><b>c</b></i> ⲉⲡϣⲱⲓ	(B) <i><b>c</b></i> ⲉⲡϣⲱⲓ	(B) c ⲉⲡϣⲱⲓ	(B) c ⲉⲡϣⲱⲓ	(B) ⲉⲡϣⲱⲓ (c)	-								https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=321a	321	a											ⲉⲡϣⲱⲓ (c)	ⲉⲡϣⲱⲓ									1
1720	282	0	(S,A,B,F) ^^	1	laughter, derision /$gk: [[gelws, paignia, xleusma]]$/	laughter, derision /$gk: [[gelws, paignia, xleusma]]$/	gelws, paignia, xleusma	321a	12	2010-02-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/1720.html	(S, A, B, F) ―	(S, A, B, F) ―	(S, A, B, F) ―	(S, A, B, F) ―	(S, A, B, F) ― (ⲡ)	noun male	γελωσ, παιγνια, χλευσμα	laughter, derision [γελωσ, παιγνια, χλευσμα]	laughter, derision [γελωσ, παιγνια, χλευσμα]	laughter, derision	"laughter, derision <span style=""opacity:0.7"">[γελωσ, παιγνια, χλευσμα]</span>"	"laughter, derision <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%B3%CE%B5%CE%BB%CF%89%CF%83"">γελωσ</a>, <a href=""https://logeion.uchicago.edu/%CF%80%CE%B1%CE%B9%CE%B3%CE%BD%CE%B9%CE%B1"">παιγνια</a>, <a href=""https://logeion.uchicago.edu/%CF%87%CE%BB%CE%B5%CF%85%CF%83%CE%BC%CE%B1"">χλευσμα</a>]</span>"	laughter, derision	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=321a	321	a	― (ⲡ)	―					― (ⲡ)	―			― (ⲡ)	―	― (ⲡ)	―							0
1721	282	0	(S,B) eire nous.	0	make sport, mock /$gk: [[gelwta poiein]]$/	make sport, mock /$gk: [[gelwta poiein]]$/	gelwta poiein	321b	13	2010-02-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/1721.html	(S, B) ⲉⲓⲣⲉ ⲛⲟⲩⲥ.	(S, B) ⲉⲓⲣⲉ ⲛⲟⲩⲥ.	(S, B) ⲉⲓⲣⲉ ⲛⲟⲩⲥ.	(S, B) ⲉⲓⲣⲉ ⲛⲟⲩⲥ.	(S, B) ⲉⲓⲣⲉ ⲛⲟⲩⲥ.	-	γελωτα ποιειν	make sport, mock [γελωτα ποιειν]	make sport, mock [γελωτα ποιειν]	make sport, mock	"make sport, mock <span style=""opacity:0.7"">[γελωτα ποιειν]</span>"	"make sport, mock <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%B3%CE%B5%CE%BB%CF%89%CF%84%CE%B1"">γελωτα</a> <a href=""https://logeion.uchicago.edu/%CF%80%CE%BF%CE%B9%CE%B5%CE%B9%CE%BD"">ποιειν</a>]</span>"	make sport, mock	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=321b	321	b	ⲉⲓⲣⲉ ⲛⲟⲩⲥ.	ⲉⲓⲣⲉ ⲛⲟⲩⲥ.									ⲉⲓⲣⲉ ⲛⲟⲩⲥ.	ⲉⲓⲣⲉ ⲛⲟⲩⲥ.									0
1722	282	0	(B) ma ns.	0	jesting place	jesting place		321b	14	2010-02-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/1722.html	(B) ⲙⲁ ⲛⲥ.	(B) ⲙⲁ ⲛⲥ.	(B) ⲙⲁ ⲛⲥ.	(B) ⲙⲁ ⲛⲥ.	(B) ⲙⲁ ⲛⲥ.	-		jesting place	jesting place	jesting place	jesting place	jesting place	jesting place	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=321b	321	b											ⲙⲁ ⲛⲥ.	ⲙⲁ ⲛⲥ.									0
1723	282	0	(S,B) reFs.	0	jester, mocker /$gk: [[empaikths]]$/	jester, mocker /$gk: [[empaikths]]$/	empaikths	321b	15	2010-02-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/1723.html	(S, B) ⲣⲉϥⲥ.	(S, B) ⲣⲉϥⲥ.	(S, B) ⲣⲉϥⲥ.	(S, B) ⲣⲉϥⲥ.	(S, B) ⲣⲉϥⲥ.	-	εμπαικτησ	jester, mocker [εμπαικτησ]	jester, mocker [εμπαικτησ]	jester, mocker	"jester, mocker <span style=""opacity:0.7"">[εμπαικτησ]</span>"	"jester, mocker <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%B5%CE%BC%CF%80%CE%B1%CE%B9%CE%BA%CF%84%CE%B7%CF%83"">εμπαικτησ</a>]</span>"	jester, mocker	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=321b	321	b	ⲣⲉϥⲥ.	ⲣⲉϥⲥ.									ⲣⲉϥⲥ.	ⲣⲉϥⲥ.									0
1724	282	0	(S) SJs.	0	ridiculous, jesting talk	ridiculous, jesting talk		321b	16	2010-02-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/1724.html	(S) ϣϫⲥ.	(S) ϣϫⲥ.	(S) ϣϫⲥ.	(S) ϣϫⲥ.	(S) ϣϫⲥ.	-		ridiculous, jesting talk	ridiculous, jesting talk	ridiculous, jesting talk	ridiculous, jesting talk	ridiculous, jesting talk	ridiculous, jesting talk	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=321b	321	b	ϣϫⲥ.	ϣϫⲥ.																			0
1725	282	0	(S,B) Gins.,Jins.	0	laughter	laughter		321b	17	2010-02-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/1725.html	(S, B) ϭⲓⲛⲥ., ϫⲓⲛⲥ.	(S, B) ϭⲓⲛⲥ., ϫⲓⲛⲥ.	(S, B) ϭⲓⲛⲥ., ϫⲓⲛⲥ.	(S, B) ϭⲓⲛⲥ., ϫⲓⲛⲥ.	(S, B) ϭⲓⲛⲥ., ϫⲓⲛⲥ.	-		laughter	laughter	laughter	laughter	laughter	laughter	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=321b	321	b	ϭⲓⲛⲥ., ϫⲓⲛⲥ.	ϭⲓⲛⲥ.									ϭⲓⲛⲥ., ϫⲓⲛⲥ.	ϭⲓⲛⲥ.									0
1848	284	0	(S,A,sA,B,F) ^^	3	creature, creation /$gk: [[ktisis, ktisma, poihma]]$/	creature, creation /$gk: [[ktisis, ktisma, poihma]]$/	ktisis, ktisma, poihma	345b	1	2010-02-14	1900-01-01	vagrant		https://pishoyg.github.io/crum/1848.html	(S, A, sA, B, F) ―	(S, A, sA, B, F) ―	(S, A, sA, B, F) ―	(S, A, sA, B, F) ―	(S, A, sA, B, F) ― (noun)	noun	κτισισ, κτισμα, ποιημα	creature, creation [κτισισ, κτισμα, ποιημα]	creature, creation [κτισισ, κτισμα, ποιημα]	creature, creation	"creature, creation <span style=""opacity:0.7"">[κτισισ, κτισμα, ποιημα]</span>"	"creature, creation <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%BA%CF%84%CE%B9%CF%83%CE%B9%CF%83"">κτισισ</a>, <a href=""https://logeion.uchicago.edu/%CE%BA%CF%84%CE%B9%CF%83%CE%BC%CE%B1"">κτισμα</a>, <a href=""https://logeion.uchicago.edu/%CF%80%CE%BF%CE%B9%CE%B7%CE%BC%CE%B1"">ποιημα</a>]</span>"	creature, creation	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=345b	345	b	― (noun)	―					― (noun)	―	― (noun)	―	― (noun)	―	― (noun)	―							0
1849	284	0	(S,B) atsont=	0	uncreated /$gk: [[aktistos, axeiropoihtos]]$/	uncreated /$gk: [[aktistos, axeiropoihtos]]$/	aktistos, axeiropoihtos	345b	2	2010-02-14	1900-01-01	vagrant		https://pishoyg.github.io/crum/1849.html	(S, B) ⲁⲧⲥⲟⲛⲧ=	(S, B) ⲁⲧⲥⲟⲛⲧ=	(S, B) ⲁⲧⲥⲟⲛⲧ=	(S, B) ⲁⲧⲥⲟⲛⲧ=	(S, B) ⲁⲧⲥⲟⲛⲧ=	-	ακτιστοσ, αχειροποιητοσ	uncreated [ακτιστοσ, αχειροποιητοσ]	uncreated [ακτιστοσ, αχειροποιητοσ]	uncreated	"uncreated <span style=""opacity:0.7"">[ακτιστοσ, αχειροποιητοσ]</span>"	"uncreated <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%B1%CE%BA%CF%84%CE%B9%CF%83%CF%84%CE%BF%CF%83"">ακτιστοσ</a>, <a href=""https://logeion.uchicago.edu/%CE%B1%CF%87%CE%B5%CE%B9%CF%81%CE%BF%CF%80%CE%BF%CE%B9%CE%B7%CF%84%CE%BF%CF%83"">αχειροποιητοσ</a>]</span>"	uncreated	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=345b	345	b	ⲁⲧⲥⲟⲛⲧ=	ⲁⲧⲥⲟⲛⲧ=									ⲁⲧⲥⲟⲛⲧ=	ⲁⲧⲥⲟⲛⲧ=									0
