key	word	type	cz	en	gr	crum	quality	pos	added	updated	created_by	updated_by	key-link	word-parsed	word-parsed-classify	word-title	word-parsed-prettify	dawoud-pages	crum-last-page	quality-parsed	type-parsed	gr-parsed	en-parsed	en-parsed-no-greek	crum-link	dialect-S	dialect-Sa	dialect-Sf	dialect-A	dialect-sA	dialect-B	dialect-F	dialect-Fb	dialect-O	dialect-NH	key-next	key-prev	crum-pages	derivations-table	derivations-list
2028	(S) SaFe,SaaFe,Sabe,SeFe,Sebe,Sebi,ShFe,Shbe,SiFe,Sibe (B) SaFi (S) Sobe+ (B) SaFiwou+	2	{intr:} swell /$gk: [[oidanein]]$/	{intr:} swell /$gk: [[oidanein]]$/	oidanein	610a	6	0	2010-01-17	1900-01-01	vagrant		https://pishoyg.github.io/crum/2028.html	"(S) ϣⲁϥⲉ, ϣⲁⲁϥⲉ, ϣⲁⲃⲉ, ϣⲉϥⲉ, ϣⲉⲃⲉ, ϣⲉⲃⲓ, ϣⲏϥⲉ, ϣⲏⲃⲉ, ϣⲓϥⲉ, ϣⲓⲃⲉ
(B) ϣⲁϥⲓ
(S) ϣⲟⲃⲉ+
(B) ϣⲁϥⲓⲱⲟⲩ+"	"<span class=""word S"">(<span class=""dialect S"">S</span>) <span class=""spelling S"">ϣⲁϥⲉ</span>, <span class=""spelling S"">ϣⲁⲁϥⲉ</span>, <span class=""spelling S"">ϣⲁⲃⲉ</span>, <span class=""spelling S"">ϣⲉϥⲉ</span>, <span class=""spelling S"">ϣⲉⲃⲉ</span>, <span class=""spelling S"">ϣⲉⲃⲓ</span>, <span class=""spelling S"">ϣⲏϥⲉ</span>, <span class=""spelling S"">ϣⲏⲃⲉ</span>, <span class=""spelling S"">ϣⲓϥⲉ</span>, <span class=""spelling S"">ϣⲓⲃⲉ</span> <span class=""nag-hammadi""></span></span>
<span class=""word B"">(<span class=""dialect B"">B</span>) <span class=""spelling B"">ϣⲁϥⲓ</span> <span class=""nag-hammadi""></span></span>
<span class=""word S"">(<span class=""dialect S"">S</span>) <span class=""spelling S"">ϣⲟⲃⲉ+</span> <span class=""nag-hammadi""></span></span>
<span class=""word B"">(<span class=""dialect B"">B</span>) <span class=""spelling B"">ϣⲁϥⲓⲱⲟⲩ+</span> <span class=""nag-hammadi""></span></span>"	ϣⲁϥⲉ, ϣⲁⲁϥⲉ, ϣⲁⲃⲉ, ϣⲉϥⲉ, ϣⲉⲃⲉ, ϣⲉⲃⲓ, ϣⲏϥⲉ, ϣⲏⲃⲉ, ϣⲓϥⲉ, ϣⲓⲃⲉ, ϣⲁϥⲓ, ϣⲟⲃⲉ+, ϣⲁϥⲓⲱⲟⲩ+	"<span class=""word S"">(<span class=""dialect S"">S</span>) <span class=""spelling S"">ϣⲁϥⲉ</span>, <span class=""spelling S"">ϣⲁⲁϥⲉ</span>, <span class=""spelling S"">ϣⲁⲃⲉ</span>, <span class=""spelling S"">ϣⲉϥⲉ</span>, <span class=""spelling S"">ϣⲉⲃⲉ</span>, <span class=""spelling S"">ϣⲉⲃⲓ</span>, <span class=""spelling S"">ϣⲏϥⲉ</span>, <span class=""spelling S"">ϣⲏⲃⲉ</span>, <span class=""spelling S"">ϣⲓϥⲉ</span>, <span class=""spelling S"">ϣⲓⲃⲉ</span></span>
<span class=""word B"">(<span class=""dialect B"">B</span>) <span class=""spelling B"">ϣⲁϥⲓ</span></span>
<span class=""word S"">(<span class=""dialect S"">S</span>) <span class=""spelling S"">ϣⲟⲃⲉ+</span></span>
<span class=""word B"">(<span class=""dialect B"">B</span>) <span class=""spelling B"">ϣⲁϥⲓⲱⲟⲩ+</span></span>"			complete	verb	οιδανειν	<b>intr:</b> swell [οιδανειν]	<b>intr:</b> swell	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=610a	"ϣⲁϥⲉ, ϣⲁⲁϥⲉ, ϣⲁⲃⲉ, ϣⲉϥⲉ, ϣⲉⲃⲉ, ϣⲉⲃⲓ, ϣⲏϥⲉ, ϣⲏⲃⲉ, ϣⲓϥⲉ, ϣⲓⲃⲉ
ϣⲟⲃⲉ+"					"ϣⲁϥⲓ
ϣⲁϥⲓⲱⲟⲩ+"					2029	2027	610		
2029	(B) ShFi	2	{intr:} be uded, consumed /*?*/	{intr:} be uded, consumed /*?*/		610b	6	0	2010-01-17	1900-01-01	vagrant		https://pishoyg.github.io/crum/2029.html	(B) ϣⲏϥⲓ	"<span class=""word B"">(<span class=""dialect B"">B</span>) <span class=""spelling B"">ϣⲏϥⲓ</span> <span class=""nag-hammadi""></span></span>"	ϣⲏϥⲓ	"<span class=""word B"">(<span class=""dialect B"">B</span>) <span class=""spelling B"">ϣⲏϥⲓ</span></span>"			complete	verb		<b>intr:</b> be uded, consumed (?)	<b>intr:</b> be uded, consumed (?)	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=610b						ϣⲏϥⲓ					2030	2028	610		
2030	(S) SiFe	1	(Egyptian for) cardamum	(Egyptian for) cardamum		610b	6	0	2010-01-17	1900-01-01	vagrant		https://pishoyg.github.io/crum/2030.html	(S) ϣⲓϥⲉ	"<span class=""word S"">(<span class=""dialect S"">S</span>) <span class=""spelling S"">ϣⲓϥⲉ</span> <span class=""nag-hammadi""></span></span>"	ϣⲓϥⲉ	"<span class=""word S"">(<span class=""dialect S"">S</span>) <span class=""spelling S"">ϣⲓϥⲉ</span> (ⲡ)</span>"			complete	noun male		<i>Egyptian for</i> cardamum	<i>Egyptian for</i> cardamum	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=610b	ϣⲓϥⲉ (ⲡ)										2031	2029	610		
2031	(S,B) SFw,Sbw	4	tale, fable	tale, fable		610b	6	0	2010-01-17	2010-03-18	vagrant	vagrant	https://pishoyg.github.io/crum/2031.html	(S, B) ϣϥⲱ, ϣⲃⲱ	"<span class=""word S B"">(<span class=""dialect S"">S</span>, <span class=""dialect B"">B</span>) <span class=""spelling S B"">ϣϥⲱ</span>, <span class=""spelling S B"">ϣⲃⲱ</span> <span class=""nag-hammadi""></span></span>"	ϣϥⲱ, ϣⲃⲱ	"<span class=""word S B"">(<span class=""dialect S"">S</span>, <span class=""dialect B"">B</span>) <span class=""spelling S B"">ϣϥⲱ</span>, <span class=""spelling S B"">ϣⲃⲱ</span> (ⲧ)</span>"			complete	noun female		tale, fable	tale, fable	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=610b	ϣϥⲱ, ϣⲃⲱ (ⲧ)					ϣϥⲱ, ϣⲃⲱ (ⲧ)					2032	2030	610,611	"<table> <colgroup> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> </colgroup> <tr> <!--Key: 3180-->  <td colspan=""5"" class=""bordered""><span class=""word B"">(<span class=""dialect B"">B</span>) <span class=""spelling B"">ⲣⲉϥⲧϩⲫⲉ ϣ.</span></span></td> <td colspan=""4"" class=""bordered"">  [μυθολογοσ] </td> <td rowspan=""2"" class=""bordered""><b>Crum: </b><span class=""crum-page"">611a</span></td> </tr> <tr> <!--Key: 3181-->  <td colspan=""5"" class=""bordered""><span class=""word""><span class=""spelling"">ⲣⲉϥϫⲉ ϣ.</span></span></td> <td colspan=""4"" class=""bordered"">  tale-tellers </td>  </tr> </table>"	"<ul> <li> <span class=""word B"">(<span class=""dialect B"">B</span>) <span class=""spelling B"">ⲣⲉϥⲧϩⲫⲉ ϣ.</span></span><br/><span style=""opacity:0.7"">[μυθολογοσ]</span> </li> <li> <span class=""word""><span class=""spelling"">ⲣⲉϥϫⲉ ϣ.</span></span><br/>tale-tellers </li> </ul>"
2032	(S,B) SFw,Sbw	4	(mesaure of length), schoenus, parasang /$gk: [[sxoinos]]$/	(mesaure of length), schoenus, parasang /$gk: [[sxoinos]]$/	sxoinos	611a	6	0	2010-01-17	2010-03-18	vagrant	vagrant	https://pishoyg.github.io/crum/2032.html	(S, B) ϣϥⲱ, ϣⲃⲱ	"<span class=""word S B"">(<span class=""dialect S"">S</span>, <span class=""dialect B"">B</span>) <span class=""spelling S B"">ϣϥⲱ</span>, <span class=""spelling S B"">ϣⲃⲱ</span> <span class=""nag-hammadi""></span></span>"	ϣϥⲱ, ϣⲃⲱ	"<span class=""word S B"">(<span class=""dialect S"">S</span>, <span class=""dialect B"">B</span>) <span class=""spelling S B"">ϣϥⲱ</span>, <span class=""spelling S B"">ϣⲃⲱ</span> (ⲧ)</span>"			complete	noun female	σχοινοσ	<i>mesaure of length</i>, schoenus, parasang [σχοινοσ]	<i>mesaure of length</i>, schoenus, parasang	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=611a	ϣϥⲱ, ϣⲃⲱ (ⲧ)					ϣϥⲱ, ϣⲃⲱ (ⲧ)					2033	2031	611		
2033	(B) SFw	4	tomb	tomb		611a	6	0	2010-01-17	1900-01-01	vagrant		https://pishoyg.github.io/crum/2033.html	(B) ϣϥⲱ	"<span class=""word B"">(<span class=""dialect B"">B</span>) <span class=""spelling B"">ϣϥⲱ</span> <span class=""nag-hammadi""></span></span>"	ϣϥⲱ	"<span class=""word B"">(<span class=""dialect B"">B</span>) <span class=""spelling B"">ϣϥⲱ</span> (ⲧ)</span>"			complete	noun female		tomb	tomb	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=611a						ϣϥⲱ (ⲧ)					2034	2032	611		
2034	(S) SaFour (B) SaFouri	4	(a fish), tilapia nilotica	(a fish), tilapia nilotica		611a	6	0	2010-01-17	1900-01-01	vagrant		https://pishoyg.github.io/crum/2034.html	"(S) ϣⲁϥⲟⲩⲣ
(B) ϣⲁϥⲟⲩⲣⲓ"	"<span class=""word S"">(<span class=""dialect S"">S</span>) <span class=""spelling S"">ϣⲁϥⲟⲩⲣ</span> <span class=""nag-hammadi""></span></span>
<span class=""word B"">(<span class=""dialect B"">B</span>) <span class=""spelling B"">ϣⲁϥⲟⲩⲣⲓ</span> <span class=""nag-hammadi""></span></span>"	ϣⲁϥⲟⲩⲣ, ϣⲁϥⲟⲩⲣⲓ	"<span class=""word S"">(<span class=""dialect S"">S</span>) <span class=""spelling S"">ϣⲁϥⲟⲩⲣ</span> (ⲧ)</span>
<span class=""word B"">(<span class=""dialect B"">B</span>) <span class=""spelling B"">ϣⲁϥⲟⲩⲣⲓ</span> (ⲧ)</span>"			complete	noun female		<i>a fish</i>, tilapia nilotica	<i>a fish</i>, tilapia nilotica	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=611a	ϣⲁϥⲟⲩⲣ (ⲧ)					ϣⲁϥⲟⲩⲣⲓ (ⲧ)					2035	2033	611		
2035	(S) SoFSF,SeFSwF+ (A) SeFSaFt+	2	{intr:} (meaning uncertain), spread, burrow /*?*/	{intr:} (meaning uncertain), spread, burrow /*?*/		612a	6	0	2010-01-17	1900-01-01	vagrant		https://pishoyg.github.io/crum/2035.html	"(S) ϣⲟϥϣϥ, ϣⲉϥϣⲱϥ+
(A) ϣⲉϥϣⲁϥⲧ+"	"<span class=""word S"">(<span class=""dialect S"">S</span>) <span class=""spelling S"">ϣⲟϥϣϥ</span>, <span class=""spelling S"">ϣⲉϥϣⲱϥ+</span> <span class=""nag-hammadi""></span></span>
<span class=""word A"">(<span class=""dialect A"">A</span>) <span class=""spelling A"">ϣⲉϥϣⲁϥⲧ+</span> <span class=""nag-hammadi""></span></span>"	ϣⲟϥϣϥ, ϣⲉϥϣⲱϥ+, ϣⲉϥϣⲁϥⲧ+	"<span class=""word S"">(<span class=""dialect S"">S</span>) <span class=""spelling S"">ϣⲟϥϣϥ</span>, <span class=""spelling S"">ϣⲉϥϣⲱϥ+</span></span>
<span class=""word A"">(<span class=""dialect A"">A</span>) <span class=""spelling A"">ϣⲉϥϣⲁϥⲧ+</span></span>"			complete	verb		<b>intr:</b> <i>meaning uncertain</i>, spread, burrow (?)	<b>intr:</b> <i>meaning uncertain</i>, spread, burrow (?)	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=612a	ϣⲟϥϣϥ, ϣⲉϥϣⲱϥ+			ϣⲉϥϣⲁϥⲧ+							2036	2034	612		
2036	(B) SKelt,GKelt,SKat	1	what is excessive, exudes, humour, pus	what is excessive, exudes, humour, pus		612a	6	0	2010-01-17	1900-01-01	vagrant		https://pishoyg.github.io/crum/2036.html	(B) ϣϧⲉⲗⲧ, ϭϧⲉⲗⲧ, ϣϧⲁⲧ	"<span class=""word B"">(<span class=""dialect B"">B</span>) <span class=""spelling B"">ϣϧⲉⲗⲧ</span>, <span class=""spelling B"">ϭϧⲉⲗⲧ</span>, <span class=""spelling B"">ϣϧⲁⲧ</span> <span class=""nag-hammadi""></span></span>"	ϣϧⲉⲗⲧ, ϭϧⲉⲗⲧ, ϣϧⲁⲧ	"<span class=""word B"">(<span class=""dialect B"">B</span>) <span class=""spelling B"">ϣϧⲉⲗⲧ</span>, <span class=""spelling B"">ϭϧⲉⲗⲧ</span>, <span class=""spelling B"">ϣϧⲁⲧ</span> (ⲡ)</span>"			complete	noun male		what is excessive, exudes, humour, pus	what is excessive, exudes, humour, pus	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=612a						ϣϧⲉⲗⲧ, ϭϧⲉⲗⲧ, ϣϧⲁⲧ (ⲡ)					2037	2035	612		
2037	(S) SwHb,SeHb-,SoHb=	2	{intr:} be withered, scorched | {tr:} wither	{intr:} be withered, scorched | {tr:} wither		612b	6	0	2010-01-17	2010-03-18	vagrant	vagrant	https://pishoyg.github.io/crum/2037.html	(S) ϣⲱϩⲃ, ϣⲉϩⲃ-, ϣⲟϩⲃ=	"<span class=""word S"">(<span class=""dialect S"">S</span>) <span class=""spelling S"">ϣⲱϩⲃ</span>, <span class=""spelling S"">ϣⲉϩⲃ-</span>, <span class=""spelling S"">ϣⲟϩⲃ=</span> <span class=""nag-hammadi""></span></span>"	ϣⲱϩⲃ, ϣⲉϩⲃ-, ϣⲟϩⲃ=	"<span class=""word S"">(<span class=""dialect S"">S</span>) <span class=""spelling S"">ϣⲱϩⲃ</span>, <span class=""spelling S"">ϣⲉϩⲃ-</span>, <span class=""spelling S"">ϣⲟϩⲃ=</span></span>"			complete	verb		"<b>intr:</b> be withered, scorched
<b>tr:</b> wither"	"<b>intr:</b> be withered, scorched
<b>tr:</b> wither"	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=612b	ϣⲱϩⲃ, ϣⲉϩⲃ-, ϣⲟϩⲃ=										2038	2036	612		
