key	word	type	cz	en	gr	crum	quality	pos	added	updated	created_by	updated_by	key-link	word-parsed	word-parsed-no-ref	word-parsed-no-html	word-parsed-no-ref-no-html	word-parsed-prettify	word-dawoud-sort-key	dawoud-pages	crum-last-page	quality-parsed	type-parsed	gr-parsed	en-parsed	en-parsed-no-html	en-parsed-no-greek	en-parsed-light-greek	en-parsed-link-light-greek	en-parsed-no-greek-no-html	crum-link	crum-page	crum-column	dialect-S	lemma-S	dialect-Sa	lemma-Sa	dialect-Sf	lemma-Sf	dialect-A	lemma-A	dialect-sA	lemma-sA	dialect-B	lemma-B	dialect-F	lemma-F	dialect-Fb	lemma-Fb	dialect-O	lemma-O	dialect-NH	lemma-NH	key-next	key-prev	crum-pages	derivations-table	derivations-list	derivations-txt
618	(S) bwH,beH-,bhH+	2	{tr:} bend (the head) /$gk: [[sugkuptein]]$/	{tr:} bend (the head) /$gk: [[sugkuptein]]$/	sugkuptein	47b	6	0	2009-09-14	2010-01-25	vagrant	vagrant	https://pishoyg.github.io/crum/618.html	(S) ⲃⲱϩ, ⲃⲉϩ-, ⲃⲏϩ+	(S) ⲃⲱϩ, ⲃⲉϩ-, ⲃⲏϩ+	(S) ⲃⲱϩ, ⲃⲉϩ-, ⲃⲏϩ+	(S) ⲃⲱϩ, ⲃⲉϩ-, ⲃⲏϩ+	(S) ⲃⲱϩ, ⲃⲉϩ-, ⲃⲏϩ+	ⲃⲱϩ (S)			complete	verb	συγκυπτειν	<b>tr:</b> bend <i>the head</i> [συγκυπτειν]	tr: bend the head [συγκυπτειν]	<b>tr:</b> bend <i>the head</i>	"<b>tr:</b> bend <i>the head</i> <span style=""opacity:0.7"">[συγκυπτειν]</span>"	"<b>tr:</b> bend <i>the head</i> <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CF%83%CF%85%CE%B3%CE%BA%CF%85%CF%80%CF%84%CE%B5%CE%B9%CE%BD"">συγκυπτειν</a>]</span>"	tr: bend the head	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=47b	47	b	ⲃⲱϩ, ⲃⲉϩ-, ⲃⲏϩ+	ⲃⲱϩ																			619	617	47			
619	(S) bouHe (S,A) bwHe (B) bouHi	1	eyelid /$gk: [[blefaron]]$/	eyelid /$gk: [[blefaron]]$/	blefaron	48a	6	0	2009-09-14	2010-01-25	vagrant	vagrant	https://pishoyg.github.io/crum/619.html	"(S) ⲃⲟⲩϩⲉ
(S, A) ⲃⲱϩⲉ
(B) ⲃⲟⲩϩⲓ"	"(S) ⲃⲟⲩϩⲉ
(S, A) ⲃⲱϩⲉ
(B) ⲃⲟⲩϩⲓ"	"(S) ⲃⲟⲩϩⲉ
(S, A) ⲃⲱϩⲉ
(B) ⲃⲟⲩϩⲓ"	"(S) ⲃⲟⲩϩⲉ
(S, A) ⲃⲱϩⲉ
(B) ⲃⲟⲩϩⲓ"	"(S) ⲃⲟⲩϩⲉ (ⲡ)
(S, A) ⲃⲱϩⲉ (ⲡ)
(B) ⲃⲟⲩϩⲓ (ⲡ)"	ⲃⲟⲩϩⲓ (B)			complete	noun male	βλεφαρον	eyelid [βλεφαρον]	eyelid [βλεφαρον]	eyelid	"eyelid <span style=""opacity:0.7"">[βλεφαρον]</span>"	"eyelid <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%B2%CE%BB%CE%B5%CF%86%CE%B1%CF%81%CE%BF%CE%BD"">βλεφαρον</a>]</span>"	eyelid	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=48a	48	a	"ⲃⲟⲩϩⲉ (ⲡ)
ⲃⲱϩⲉ (ⲡ)"	ⲃⲟⲩϩⲉ					ⲃⲱϩⲉ (ⲡ)	ⲃⲱϩⲉ			ⲃⲟⲩϩⲓ (ⲡ)	ⲃⲟⲩϩⲓ									620	618	48	"<table> <colgroup> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> </colgroup> <tr> <!--Key: 242-->  <td colspan=""5"" class=""bordered"">(S) ⲣ ⲃ., ⲟ ⲛⲃ.</td> <td colspan=""4"" class=""bordered"">  grow, develop <i>(abnormally ?)</i> eyelids </td> <td rowspan=""1"" class=""bordered""><b>Crum: </b><a href=""https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=48a"">48a</a></td> </tr> </table>"	<ul> <li> (S) ⲣ ⲃ., ⲟ ⲛⲃ.<br/>grow, develop <i>(abnormally ?)</i> eyelids </li> </ul>	(S) ⲣ ⲃ., ⲟ ⲛⲃ. grow, develop (abnormally ?) eyelids
620	(S) beHwl (B) belHwl (F) bouHwl	4	(kind of) date-palm (casting its fruit), unripe date	(kind of) date-palm (casting its fruit), unripe date		48a	6	0	2009-09-14	2010-01-25	vagrant	vagrant	https://pishoyg.github.io/crum/620.html	"(S) ⲃⲉϩⲱⲗ
(B) ⲃⲉⲗϩⲱⲗ
(F) ⲃⲟⲩϩⲱⲗ"	"(S) ⲃⲉϩⲱⲗ
(B) ⲃⲉⲗϩⲱⲗ
(F) ⲃⲟⲩϩⲱⲗ"	"(S) ⲃⲉϩⲱⲗ
(B) ⲃⲉⲗϩⲱⲗ
(F) ⲃⲟⲩϩⲱⲗ"	"(S) ⲃⲉϩⲱⲗ
(B) ⲃⲉⲗϩⲱⲗ
(F) ⲃⲟⲩϩⲱⲗ"	"(S) ⲃⲉϩⲱⲗ (ⲧ)
(B) ⲃⲉⲗϩⲱⲗ (ⲧ)
(F) ⲃⲟⲩϩⲱⲗ (ⲧ)"	ⲃⲉⲗϩⲱⲗ (B)			complete	noun female		<i>kind of</i> date-palm <i>casting its fruit</i>, unripe date	kind of date-palm casting its fruit, unripe date	<i>kind of</i> date-palm <i>casting its fruit</i>, unripe date	<i>kind of</i> date-palm <i>casting its fruit</i>, unripe date	<i>kind of</i> date-palm <i>casting its fruit</i>, unripe date	kind of date-palm casting its fruit, unripe date	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=48a	48	a	ⲃⲉϩⲱⲗ (ⲧ)	ⲃⲉϩⲱⲗ									ⲃⲉⲗϩⲱⲗ (ⲧ)	ⲃⲉⲗϩⲱⲗ	ⲃⲟⲩϩⲱⲗ (ⲧ)	ⲃⲟⲩϩⲱⲗ							621	619	48			
621	(S) bwHn,baHn	1	canopy, awning /$gk: [[kalupthra, skeph]]$/	canopy, awning /$gk: [[kalupthra, skeph]]$/	kalupthra, skeph	48a	6	0	2009-09-14	2010-01-25	vagrant	vagrant	https://pishoyg.github.io/crum/621.html	(S) ⲃⲱϩⲛ, ⲃⲁϩⲛ	(S) ⲃⲱϩⲛ, ⲃⲁϩⲛ	(S) ⲃⲱϩⲛ, ⲃⲁϩⲛ	(S) ⲃⲱϩⲛ, ⲃⲁϩⲛ	(S) ⲃⲱϩⲛ, ⲃⲁϩⲛ (ⲡ)	ⲃⲱϩⲛ (S)			complete	noun male	καλυπτηρα, σκεπη	canopy, awning [καλυπτηρα, σκεπη]	canopy, awning [καλυπτηρα, σκεπη]	canopy, awning	"canopy, awning <span style=""opacity:0.7"">[καλυπτηρα, σκεπη]</span>"	"canopy, awning <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%BA%CE%B1%CE%BB%CF%85%CF%80%CF%84%CE%B7%CF%81%CE%B1"">καλυπτηρα</a>, <a href=""https://logeion.uchicago.edu/%CF%83%CE%BA%CE%B5%CF%80%CE%B7"">σκεπη</a>]</span>"	canopy, awning	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=48a	48	a	ⲃⲱϩⲛ, ⲃⲁϩⲛ (ⲡ)	ⲃⲱϩⲛ																			622	620	48			
622	(S) bhG,beG,bG (B) bhJ,beJi (F) bhG,biG	1	falcon /$gk: [[ieraj]]$/	falcon /$gk: [[ieraj]]$/	ieraj	48b	6	0	2009-09-14	2010-01-25	vagrant	vagrant	https://pishoyg.github.io/crum/622.html	"(S) ⲃⲏϭ, ⲃⲉϭ, ⲃϭ
(B) ⲃⲏϫ, ⲃⲉϫⲓ
(F) ⲃⲏϭ, ⲃⲓϭ"	"(S) ⲃⲏϭ, ⲃⲉϭ, ⲃϭ
(B) ⲃⲏϫ, ⲃⲉϫⲓ
(F) ⲃⲏϭ, ⲃⲓϭ"	"(S) ⲃⲏϭ, ⲃⲉϭ, ⲃϭ
(B) ⲃⲏϫ, ⲃⲉϫⲓ
(F) ⲃⲏϭ, ⲃⲓϭ"	"(S) ⲃⲏϭ, ⲃⲉϭ, ⲃϭ
(B) ⲃⲏϫ, ⲃⲉϫⲓ
(F) ⲃⲏϭ, ⲃⲓϭ"	"(S) ⲃⲏϭ, ⲃⲉϭ, ⲃϭ (ⲡ)
(B) ⲃⲏϫ, ⲃⲉϫⲓ (ⲡ)
(F) ⲃⲏϭ, ⲃⲓϭ (ⲡ)"	ⲃⲏϫ (B)			complete	noun male	ιεραξ	falcon [ιεραξ]	falcon [ιεραξ]	falcon	"falcon <span style=""opacity:0.7"">[ιεραξ]</span>"	"falcon <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%B9%CE%B5%CF%81%CE%B1%CE%BE"">ιεραξ</a>]</span>"	falcon	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=48b	48	b	ⲃⲏϭ, ⲃⲉϭ, ⲃϭ (ⲡ)	ⲃⲏϭ									ⲃⲏϫ, ⲃⲉϫⲓ (ⲡ)	ⲃⲏϫ	ⲃⲏϭ, ⲃⲓϭ (ⲡ)	ⲃⲏϭ							623	621	48			
623	(S) gazgaz,gazgiz	3	(a tree) /$gk: [[zizufa]]$/	(a tree) /$gk: [[zizufa]]$/	zizufa	49b	6	0	2009-09-14	2010-01-25	vagrant	vagrant	https://pishoyg.github.io/crum/623.html	(S) ⲅⲁⲍⲅⲁⲍ, ⲅⲁⲍⲅⲓⲍ	(S) ⲅⲁⲍⲅⲁⲍ, ⲅⲁⲍⲅⲓⲍ	(S) ⲅⲁⲍⲅⲁⲍ, ⲅⲁⲍⲅⲓⲍ	(S) ⲅⲁⲍⲅⲁⲍ, ⲅⲁⲍⲅⲓⲍ	(S) ⲅⲁⲍⲅⲁⲍ, ⲅⲁⲍⲅⲓⲍ (noun)	ⲅⲁⲍⲅⲁⲍ (S)			complete	noun	ζιζυφα	<i>a tree</i> [ζιζυφα]	a tree [ζιζυφα]	<i>a tree</i>	"<i>a tree</i> <span style=""opacity:0.7"">[ζιζυφα]</span>"	"<i>a tree</i> <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%B6%CE%B9%CE%B6%CF%85%CF%86%CE%B1"">ζιζυφα</a>]</span>"	a tree	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=49b	49	b	ⲅⲁⲍⲅⲁⲍ, ⲅⲁⲍⲅⲓⲍ (noun)	ⲅⲁⲍⲅⲁⲍ																			624	622	49			
624	(S,B,F) abwk (S,B) abok (S) ****aboke (B) ****aboki (S) *abooke (A) *abake (B) *aboki (F) *abaaki	1	havran, vrána /$gk: [[koraj]]$/	crow, raven /$gk: [[koraj]]$/	koraj	2b	9	0	2009-09-14	2010-10-27	vagrant	vagrant	https://pishoyg.github.io/crum/624.html	"(S, B, F) ⲁⲃⲱⲕ
(S, B) ⲁⲃⲟⲕ
(S) <i>female: </i>ⲁⲃⲟⲕⲉ
(B) <i>female: </i>ⲁⲃⲟⲕⲓ
(S) <i>plural: </i>ⲁⲃⲟⲟⲕⲉ
(A) <i>plural: </i>ⲁⲃⲁⲕⲉ
(B) <i>plural: </i>ⲁⲃⲟⲕⲓ
(F) <i>plural: </i>ⲁⲃⲁⲁⲕⲓ"	"(S, B, F) ⲁⲃⲱⲕ
(S, B) ⲁⲃⲟⲕ
(S) <i>female: </i>ⲁⲃⲟⲕⲉ
(B) <i>female: </i>ⲁⲃⲟⲕⲓ
(S) <i>plural: </i>ⲁⲃⲟⲟⲕⲉ
(A) <i>plural: </i>ⲁⲃⲁⲕⲉ
(B) <i>plural: </i>ⲁⲃⲟⲕⲓ
(F) <i>plural: </i>ⲁⲃⲁⲁⲕⲓ"	"(S, B, F) ⲁⲃⲱⲕ
(S, B) ⲁⲃⲟⲕ
(S) female: ⲁⲃⲟⲕⲉ
(B) female: ⲁⲃⲟⲕⲓ
(S) plural: ⲁⲃⲟⲟⲕⲉ
(A) plural: ⲁⲃⲁⲕⲉ
(B) plural: ⲁⲃⲟⲕⲓ
(F) plural: ⲁⲃⲁⲁⲕⲓ"	"(S, B, F) ⲁⲃⲱⲕ
(S, B) ⲁⲃⲟⲕ
(S) female: ⲁⲃⲟⲕⲉ
(B) female: ⲁⲃⲟⲕⲓ
(S) plural: ⲁⲃⲟⲟⲕⲉ
(A) plural: ⲁⲃⲁⲕⲉ
(B) plural: ⲁⲃⲟⲕⲓ
(F) plural: ⲁⲃⲁⲁⲕⲓ"	"(S, B, F) ⲁⲃⲱⲕ (ⲡ)
(S, B) ⲁⲃⲟⲕ (ⲡ)
(S) ⲁⲃⲟⲕⲉ (ⲧ)
(B) ⲁⲃⲟⲕⲓ (ⲧ)
(S) ⲁⲃⲟⲟⲕⲉ (ⲛ)
(A) ⲁⲃⲁⲕⲉ (ⲛ)
(B) ⲁⲃⲟⲕⲓ (ⲛ)
(F) ⲁⲃⲁⲁⲕⲓ (ⲛ)"	ⲁⲃⲱⲕ (B)			complete+cz	noun male	κοραξ	crow, raven [κοραξ]	crow, raven [κοραξ]	crow, raven	"crow, raven <span style=""opacity:0.7"">[κοραξ]</span>"	"crow, raven <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%BA%CE%BF%CF%81%CE%B1%CE%BE"">κοραξ</a>]</span>"	crow, raven	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=2b	2	b	"ⲁⲃⲱⲕ (ⲡ)
ⲁⲃⲟⲕ (ⲡ)
ⲁⲃⲟⲕⲉ (ⲧ)
ⲁⲃⲟⲟⲕⲉ (ⲛ)"	ⲁⲃⲱⲕ					ⲁⲃⲁⲕⲉ (ⲛ)	ⲁⲃⲁⲕⲉ			"ⲁⲃⲱⲕ (ⲡ)
ⲁⲃⲟⲕ (ⲡ)
ⲁⲃⲟⲕⲓ (ⲧ)
ⲁⲃⲟⲕⲓ (ⲛ)"	ⲁⲃⲱⲕ	"ⲁⲃⲱⲕ (ⲡ)
ⲁⲃⲁⲁⲕⲓ (ⲛ)"	ⲁⲃⲱⲕ							625	623	2			
625	(S) abw (S) *abate	4				2b	6	0	2009-09-14	2010-04-02	vagrant	vagrant	https://pishoyg.github.io/crum/625.html	"(S) ⲁⲃⲱ
(S) <i>plural: </i>ⲁⲃⲁⲧⲉ"	"(S) ⲁⲃⲱ
(S) <i>plural: </i>ⲁⲃⲁⲧⲉ"	"(S) ⲁⲃⲱ
(S) plural: ⲁⲃⲁⲧⲉ"	"(S) ⲁⲃⲱ
(S) plural: ⲁⲃⲁⲧⲉ"	"(S) ⲁⲃⲱ (ⲧ)
(S) ⲁⲃⲁⲧⲉ (ⲛ)"	ⲁⲃⲱ (S)			complete	noun female								https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=2b	2	b	"ⲁⲃⲱ (ⲧ)
ⲁⲃⲁⲧⲉ (ⲛ)"	ⲁⲃⲱ																			626	624	2			
626	(S) abe	4	(meaning unknown)	(meaning unknown)		2a	6	0	2009-09-14	2010-04-02	vagrant	vagrant	https://pishoyg.github.io/crum/626.html	(S) ⲁⲃⲉ	(S) ⲁⲃⲉ	(S) ⲁⲃⲉ	(S) ⲁⲃⲉ	(S) ⲁⲃⲉ (ⲧ)	ⲁⲃⲉ (S)			complete	noun female		<i>meaning unknown</i>	meaning unknown	<i>meaning unknown</i>	<i>meaning unknown</i>	<i>meaning unknown</i>	meaning unknown	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=2a	2	a	ⲁⲃⲉ (ⲧ)	ⲁⲃⲉ																			627	625	2			
627	(S,A,B,F) a-	21	(slovesná předpona odvozená z [eire], vyjadřuje /*a*/ perfectum /*b*/ plusquamperfectum /*c*/ aorist)	(verbal prefix derived from [eire], characterizes /*a*/ perfectum /*b*/ plusquamperfectum /*c*/ aorist tenses)		1a	9	0	2009-09-14	2010-10-27	vagrant	vagrant	https://pishoyg.github.io/crum/627.html	(S, A, B, F) ⲁ-	(S, A, B, F) ⲁ-	(S, A, B, F) ⲁ-	(S, A, B, F) ⲁ-	(S, A, B, F) ⲁ- (v. prefix)	ⲁ- (B)			complete+cz	verbal prefix		<i>verbal prefix derived from ⲉⲓⲣⲉ , characterizes (a) perfectum (b) plusquamperfectum (c) aorist tenses</i>	verbal prefix derived from ⲉⲓⲣⲉ , characterizes (a) perfectum (b) plusquamperfectum (c) aorist tenses	<i>verbal prefix derived from ⲉⲓⲣⲉ , characterizes (a) perfectum (b) plusquamperfectum (c) aorist tenses</i>	<i>verbal prefix derived from ⲉⲓⲣⲉ , characterizes (a) perfectum (b) plusquamperfectum (c) aorist tenses</i>	<i>verbal prefix derived from ⲉⲓⲣⲉ , characterizes (a) perfectum (b) plusquamperfectum (c) aorist tenses</i>	verbal prefix derived from ⲉⲓⲣⲉ , characterizes (a) perfectum (b) plusquamperfectum (c) aorist tenses	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=1a	1	a	ⲁ- (v. prefix)	ⲁ-					ⲁ- (v. prefix)	ⲁ-			ⲁ- (v. prefix)	ⲁ-	ⲁ- (v. prefix)	ⲁ-							628	626	1			
