book	chapter	chapter-zfilled	verse	testament	testament-indexed	section	section-indexed	section-indexed-no-testament	book-indexed	Bohairic	Sahidic	English	Greek	Fayyumic	Akhmimic	OldBohairic	Mesokemic	DialectP	Lycopolitan
Second Epistle to Timothy	4	4	20	NT	2. NT	Pauline Epistles	3. Pauline Epistles	08. Pauline Epistles	12. Second Epistle to Timothy	ⲉⲣⲁⲥⲧⲟⲥ ⲁϥⲟϩⲓ ϧⲉⲛ ⲕⲟⲣⲓⲛⲑⲟⲥ ⲧⲣⲟⲫⲏⲙⲟⲥ ⲇⲉ ⲁⲓⲥⲟϫⲡϥ ϧⲉⲛ ⲙⲉⲗⲓⲧⲟⲥ ⲉϥϣⲱⲛⲓ	ⲁ ⲉⲣⲁⲥⲧⲟⲥ ϭⲱ ϩⲛ̅ ⲕⲟⲣⲓⲛⲑⲟⲥ. ⲁⲓⲕⲁ ⲧⲣⲟⲫⲓⲙⲟⲥ ⲇⲉ ϩⲛ̅ ⲙⲓⲗⲏⲧⲟⲥ ⲉϥϣⲱⲛⲉ.	Erastos stayed in Korinthos. But Trophēmos I left in Melitos sick.	Ἔραστος ἔμεινεν ἐν Κορίνθῳ, Τρόφιμον δὲ ἀπέλιπον ἐν Μιλήτῳ ἀσθενοῦντα.						
Second Epistle to Timothy	4	4	21	NT	2. NT	Pauline Epistles	3. Pauline Epistles	08. Pauline Epistles	12. Second Epistle to Timothy	ⲓⲏ̅ⲥ̅ ⲙ̀ⲙⲟⲕ ⲉ̀ⲓ̀ ϧⲁϫⲉⲛ ϯⲫⲣⲱ ϥϣⲓⲛⲓ ⲉ̀ⲣⲟⲕ ⲛ̀ϫⲉ ⲉⲩⲃⲟⲩⲗⲟⲥ ⲛⲉⲙ ⲡⲟⲩⲇⲏⲥ ⲛⲉⲙ ⲛⲓⲗⲟⲥ ⲛⲉⲙ ⲕⲗⲁⲩⲇⲓⲟⲥ ⲛⲉⲙ ⲛⲓⲥⲛⲏⲟⲩ ⲧⲏⲣⲟⲩ	ⲁⲣⲓⲁⲡⲁⲧⲟⲟⲧⲕ̅ ⲉⲉⲓ ϣⲁⲣⲟⲓ ϩⲁⲑⲏ ⲛ̅ⲧⲉⲡⲣⲱ. ⲉⲩⲃⲟⲩⲗⲟⲥ ϣⲓⲛⲉ ⲉⲣⲟⲕ. ⲙⲛ̅ ⲡⲟⲩⲇⲏⲥ. ⲙⲛ̅ ⲗⲓⲛⲟⲥ. ⲁⲩⲱ ⲕⲗⲁⲩⲇⲓⲁ. ⲙⲛ̅ ⲛⲉⲥⲛⲏⲩ ⲧⲏⲣⲟⲩ.	Haste thee to come before the winter. Euboulos saluteth thee, and Pioudēs and Nilos and Klaudios and all the brethren.	Σπούδασον πρὸ χειμῶνος ἐλθεῖν. Ἀσπάζεταί σε Εὔβουλος καὶ Πούδης καὶ Λίνος καὶ Κλαυδία καὶ οἱ ἀδελφοὶ πάντες.						
Second Epistle to Timothy	4	4	22	NT	2. NT	Pauline Epistles	3. Pauline Epistles	08. Pauline Epistles	12. Second Epistle to Timothy	ⲡϭ̅ⲥ̅ ⲓⲏ̅ⲥ̅ ⲡⲭ̅ⲥ̅ ⲛⲉⲙ ⲡⲉⲕⲡⲛ̅ⲁ̅ ⲛ̀ϩⲙⲟⲧ ⲛⲉⲙⲱⲧⲉⲛ	ⲡϫⲟⲉⲓⲥ ⲙⲛ̅ ⲡⲉⲕⲡⲛⲉⲩⲙⲁ:	The Lord Jesus Christ with thy spirit. (The) grace with you.	Ὁ κύριος μετὰ τοῦ πνεύματός σου. ἡ χάρις μεθʼ ὑμῶν.						
Second Epistle to Timothy	4	4		NT	2. NT	Pauline Epistles	3. Pauline Epistles	08. Pauline Epistles	12. Second Epistle to Timothy	ⲡⲣⲟⲥ ⲧⲓⲙⲟⲑⲉⲟⲥ ⲃ̅ ⲁⲩⲥϧⲏⲧⲥ ϧⲉⲛ ⲗⲁⲟⲇⲓⲕⲓⲁ ϯⲙⲉⲧⲣⲟⲡⲟⲗⲓⲥ	ⲧⲉⲡⲣⲟⲥ: ⲧⲓⲙⲟⲑⲉⲟⲥ:								
Epistle to Titus	1	1		NT	2. NT	Pauline Epistles	3. Pauline Epistles	08. Pauline Epistles	13. Epistle to Titus	ⲡⲣⲟⲥ ⲧⲓⲧⲟⲥ ⲓ̅ⲅ̅					ⲧⲉⲡⲣⲟⲥ: ⲧⲓⲧⲟⲥ:				
Epistle to Titus	1	1	1	NT	2. NT	Pauline Epistles	3. Pauline Epistles	08. Pauline Epistles	13. Epistle to Titus	ⲡⲁⲩⲗⲟⲥ ⲫⲃⲱⲕ ⲙ̀ⲫϯ ⲡⲁⲡⲟⲥⲧⲟⲗⲟⲥ ⲛ̀ⲧⲉ ⲓⲏ̅ⲥ̅ ⲡⲭ̅ⲥ̅ ⲕⲁⲧⲁ ⲫⲛⲁϩϯ ⲛ̀ⲛⲓⲥⲱⲧⲡ ⲛ̀ⲧⲉ ⲫϯ ⲛⲉⲙ ⲡⲥⲟⲩⲉⲛ ϯⲙⲉⲑⲙⲏⲓ ⲕⲁⲧⲁ ϯⲙⲉⲧⲉⲩⲥⲉⲃⲏⲥ	ⲡⲁⲩⲗⲟⲥ ⲡϩⲙ̅ϩⲁⲗ ⲙ̅ⲡⲛⲟⲩⲧⲉ ⲡⲁⲡⲟⲥⲧⲟⲗⲟⲥ ⲇⲉ ⲙ̅ⲡⲉⲭ̅ⲥ̅ ⲓ̅ⲥ̅. ⲕⲁⲧⲁ ⲧⲡⲓⲥⲧⲓⲥ ⲛ̅ⲛ̅ⲥⲱⲧⲡ̅ ⲙ̅ⲡⲛⲟⲩⲧⲉ ⲁⲩⲱ ⲡⲥⲟⲟⲩⲛ ⲛ̅ⲧⲙⲉ. ⲧⲁⲓ ⲉⲧϣⲟⲟⲡ ⲕⲁⲧⲁ ⲟⲩⲙⲛ̅ⲧⲉⲩⲥⲉⲃⲏⲥ	I. Paul, (the) servant of God, (the) apostle of Jesus Christ according to (the) faith of the elect of God, and (the) knowledge of the truth, according to [the] godliness,	Παῦλος δοῦλος θεοῦ, ἀπόστολος δὲ Ἰησοῦ Χριστοῦ κατὰ πίστιν ἐκλεκτῶν θεοῦ καὶ ἐπίγνωσιν ἀληθείας τῆς κατʼ εὐσέβειαν						
Epistle to Titus	1	1	2	NT	2. NT	Pauline Epistles	3. Pauline Epistles	08. Pauline Epistles	13. Epistle to Titus	ϧⲉⲛ ⲟⲩϩⲉⲗⲡⲓⲥ ⲛ̀ⲧⲉ ⲟⲩⲱⲛϧ ⲛ̀ⲉⲛⲉϩ ⲫⲁⲓ ⲉⲧⲁϥⲱϣ ⲙ̀ⲙⲟϥ ⲛ̀ϫⲉ ⲡⲓⲁⲧⲙⲉⲑⲛⲟⲩϫ ⲫϯ ϧⲁϫⲱⲟⲩ ⲛ̀ⲛⲓⲥⲏⲟⲩ ⲛ̀ⲉⲛⲉϩ	ϩⲛ ⲑⲉⲗⲡⲓⲥ ⲙ̅ⲡⲱⲛϩ̅ ϣⲁ ⲉⲛⲉϩ. ⲡⲁⲓ ⲉⲛⲧⲁϥⲉⲣⲏⲧ ⲙ̅ⲙⲟϥ ⲛ̅ϭⲓ ⲡⲛⲟⲩⲧⲉ ⲙ̅ⲙⲉ ϩⲁⲑⲏ ⲛ̅ⲛⲉⲩⲟⲉⲓϣ ⲛ̅ϣⲁ ⲉⲛⲉϩ.	in a hope of an eternal life, this which God, who cannot lie, promised before the eternal times;	ἐπʼ ἐλπίδι ζωῆς αἰωνίου, ἣν ἐπηγγείλατο ὁ ἀψευδὴς θεὸς πρὸ χρόνων αἰωνίων						
Epistle to Titus	1	1	3	NT	2. NT	Pauline Epistles	3. Pauline Epistles	08. Pauline Epistles	13. Epistle to Titus	ⲁϥⲟⲩⲟⲛϩ ⲇⲉ ⲉ̀ⲃⲟⲗ ϧⲉⲛ ⲛⲉϥⲥⲏⲟⲩ ⲙ̀ⲡⲉϥⲥⲁϫⲓ ϧⲉⲛ ⲟⲩϩⲓⲱⲓϣ ⲫⲁⲓ ⲁ̀ⲛⲟⲕ ⲉⲧⲁⲩⲧⲉⲛϩⲟⲩⲧ ⲉ̀ⲣⲟϥ ⲕⲁⲧⲁ ⲡⲓⲟⲩⲁϩⲥⲁϩⲛⲓ ⲛ̀ⲧⲉ ⲫϯ ⲡⲉⲛⲥⲱⲧⲏⲣ	ⲉⲁϥⲟⲩⲱⲛϩ̅ ⲇⲉ ⲉⲃⲟⲗ ⲙ̅ⲡⲉϥϣⲁϫⲉ ϩⲛ̅ ⲛⲉϥⲟⲩⲟⲉⲓϣ ϩⲛ̅ ⲟⲩⲧⲁϣⲉⲟⲉⲓϣ. ⲡⲁⲓ ⲁⲛⲟⲕ ⲉⲛⲧⲁⲩⲧⲁⲛϩⲟⲩⲧ ⲉⲣⲟϥ. ⲕⲁⲧⲁ ⲡⲟⲩⲉϩⲥⲁϩⲛⲉ ⲙ̅ⲡⲛⲟⲩⲧⲉ ⲡⲉⲛⲥⲱⲧⲏⲣ. ⲉϥⲥϩⲁⲓ	but he manifested in his times his word in a proclaiming, this with which I was intrusted, according to the commandment of God our saviour;	ἐφανέρωσεν δὲ καιροῖς ἰδίοις, τὸν λόγον αὐτοῦ ἐν κηρύγματι ὃ ἐπιστεύθην ἐγὼ κατʼ ἐπιταγὴν τοῦ σωτῆρος ἡμῶν θεοῦ,						
Epistle to Titus	1	1	4	NT	2. NT	Pauline Epistles	3. Pauline Epistles	08. Pauline Epistles	13. Epistle to Titus	ⲛ̀ⲧⲓⲧⲟⲥ ⲡⲁⲙⲉⲛⲣⲓⲧ ⲛ̀ϣⲏⲣⲓ ⲕⲁⲧⲁ ϯⲙⲉⲧϣⲫⲏⲣ ⲛ̀ⲧⲉ ⲫⲛⲁϩϯ ⲡϩⲙⲟⲧ ⲛⲉⲙ ⲧϩⲓⲣⲏⲛⲏ ⲉ̀ⲃⲟⲗ ϩⲓⲧⲉⲛ ⲫϯ ⲫⲓⲱⲧ ⲛⲉⲙ ⲡⲭ̅ⲥ̅ ⲓⲏ̅ⲥ̅ ⲡⲉⲛⲥⲱⲧⲏⲣ	ⲛ̅ⲧⲓⲧⲟⲥ ⲡϩⲁⲕ ⲛ̅ϣⲏⲣⲉ ⲕⲁⲧⲁ ⲧⲉⲛⲡⲓⲥⲧⲓⲥ ϩⲓ ⲟⲩⲥⲟⲡ. ⲧⲉⲭⲁⲣⲓⲥ ⲛⲁⲕ ⲙⲛ̅ ϯⲣⲏⲛⲏ ⲛ̅ⲧⲙ̅ ⲡⲛⲟⲩⲧⲉ ⲡⲉⲓⲱⲧ ⲙⲛ̅ ⲡⲉⲭ̅ⲥ̅ ⲓ̅ⲥ̅ ⲡⲉⲛⲥⲱⲧⲏⲣ:	to Titos my beloved child according to the fellowship of (the) faith: (the) grace and (the) peace from God (the) Father and Christ Jesus our saviour.	Τίτῳ γνησίῳ τέκνῳ κατὰ κοινὴν πίστιν· χάρις καὶ εἰρήνη ἀπὸ θεοῦ πατρὸς καὶ Χριστοῦ Ἰησοῦ τοῦ σωτῆρος ἡμῶν.						
Epistle to Titus	1	1	5	NT	2. NT	Pauline Epistles	3. Pauline Epistles	08. Pauline Epistles	13. Epistle to Titus	ⲉⲑⲃⲉⲫⲁⲓ ⲁⲓⲥⲟϫⲡⲕ ϧⲉⲛ ⲕⲣⲓⲑⲏ ϩⲓⲛⲁ ⲛⲓⲥⲱϫⲡ ⲛ̀ⲧⲉⲕⲧⲁϩⲱⲟⲩ ⲉ̀ⲣⲁⲧⲟⲩ ⲟⲩⲟϩ ⲛ̀ⲧⲉⲕⲥⲉⲙⲛⲓ ⲛ̀ϩⲁⲛⲡⲣⲉⲥⲃⲩⲧⲉⲣⲟⲥ ⲕⲁⲧⲁ ⲃⲁⲕⲓ ⲕⲁⲧⲁ ⲫⲣⲏϯ ⲉⲧⲁⲓⲟⲩⲁϩⲥⲁϩⲛⲓ ⲛⲁⲕ	ⲉⲧⲃⲉ ⲡⲁⲓ ⲁⲓⲕⲁⲁⲕ ϩⲛ̅ ⲕⲣⲏⲧⲏ. ϫⲉⲕⲁⲁⲥ ⲉⲕⲉⲥⲙⲓⲛⲉ ⲙ̅ⲡⲕⲉⲥⲉⲉⲡⲉ. ⲁⲩⲱ ⲛⲅ̅ⲧⲁϩⲟ ⲉⲣⲁⲧⲟⲩ ⲛ̅ϩⲉⲛⲡⲣⲉⲥⲃⲩⲧⲉⲣⲟⲥ ⲕⲁⲧⲁ ⲡⲟⲗⲓⲥ ⲛ̅ⲑⲉ ⲉⲛⲧⲁⲓϩⲱⲛ ⲉⲧⲟⲟⲧⲕ̅ ⲙ̅ⲙⲟⲥ.	Therefore I left thee in Krithē, that thou mightest set up the things which were left, and establish presbyters in every city, according as I commanded thee;	Τούτου χάριν ἀπέλιπόν σε ἐν Κρήτῃ ἵνα τὰ λείποντα ἐπιδιορθώσῃ, καὶ καταστήσῃς κατὰ πόλιν πρεσβυτέρους, ὡς ἐγώ σοι διεταξάμην,						
Epistle to Titus	1	1	6	NT	2. NT	Pauline Epistles	3. Pauline Epistles	08. Pauline Epistles	13. Epistle to Titus	ⲟⲩⲁⲓ ⲉϥⲟⲓ ⲛ̀ⲁⲧⲗⲱⲓϫⲓ ⲉ̀ⲁϥⲉⲣϩⲁⲓ ⲛ̀ⲟⲩⲥϩⲓⲙⲓ ⲛ̀ⲟⲩⲱⲧ ⲉ̀ⲟⲩⲟⲛⲧⲁϥ ⲙ̀ⲙⲁⲩ ⲛ̀ϩⲁⲛϣⲏⲣⲓ ⲙ̀ⲡⲓⲥⲧⲟⲥ ⲛ̀ⲥⲉϧⲉⲛ ⲟⲩⲕⲁⲧⲏⲅⲟⲣⲓⲁ ⲁⲛ ⲙ̀ⲙⲉⲧⲁⲧⲟⲩϫⲁⲓ ⲓⲉ ⲉⲩⲟⲓ ⲛ̀ⲁⲧϭⲛⲉϫⲱⲟⲩ	ⲡⲉⲧⲉ ⲙⲛ̅ϩⲱⲃ ϫⲓ ⲉϩⲟⲩⲛ ⲉⲣⲟϥ. ⲉⲁϥⲣ̅ϩⲁⲓ ⲛ̅ⲟⲩⲥϩⲓⲙⲉ ⲛ̅ⲟⲩⲱⲧ. ⲉⲩⲛ̅ⲧⲁϥ ⲙ̅ⲙⲁⲩ ⲛ̅ⲛⲉϥϣⲏⲣⲉ ⲙ̅ⲡⲓⲥⲧⲟⲥ. ⲉⲛ̅ⲥⲉϩⲛ̅ ⲟⲩⲕⲁⲧⲏⲅⲟⲣⲓⲁ ⲁⲛ ⲙ̅ⲙⲛ̅ⲧϣ̅ⲛⲁ ⲏ ⲛ̅ⲥⲉϩⲩⲡⲟⲧⲁⲥⲥⲉ ⲁⲛ:	one who is irreproachable being husband of one wife, having children faithful, and they are not under (lit. in) an accusation of dissoluteness, or being insubordinate.	εἴ τίς ἐστιν ἀνέγκλητος, μιᾶς γυναικὸς ἀνήρ, τέκνα ἔχων πιστά, μὴ ἐν κατηγορίᾳ ἀσωτίας ἢ ἀνυπότακτα.						
Epistle to Titus	1	1	7	NT	2. NT	Pauline Epistles	3. Pauline Epistles	08. Pauline Epistles	13. Epistle to Titus	ⲥϣⲉ ⲅⲁⲣ ⲛ̀ⲧⲉ ⲡⲓⲉⲡⲓⲥⲕⲟⲡⲟⲥ ϣⲱⲡⲓ ⲉϥⲟⲓ ⲛ̀ⲁⲧⲗⲱⲓϫⲓ ϩⲱⲥ ⲟⲩⲟⲓⲕⲟⲛⲟⲙⲟⲥ ⲛ̀ⲧⲉ ⲫϯ ⲛ̀ⲟⲩⲁⲩⲑⲁⲧⲏⲥ ⲁⲛ ⲡⲉ ⲛ̀ⲟⲩⲣⲉϥϫⲱⲛⲧ ⲁⲛ ⲡⲉ ⲛ̀ⲟⲩⲥⲉ ϩⲟⲩⲟ ⲏⲣⲡ ⲁⲛ ⲡⲉ ⲛ̀ⲟⲩⲣⲉϥϯⲧⲉⲛϣⲓ ⲁⲛ ⲡⲉ ⲛ̀ⲟⲩⲙⲁⲓϩⲏⲟⲩ ⲉϥϣⲏϣ ⲁⲛ ⲡⲉ	ϣ̅ϣⲉ ⲅⲁⲣ ⲉⲡⲉⲡⲓⲥⲕⲟⲡⲟⲥ ⲉⲧⲙ̅ⲧⲣⲉⲩϭⲛ̅ϩⲱⲃ ⲉϩⲟⲩⲛ ⲉⲣⲟϥ ϩⲱⲥ ⲟⲓⲕⲟⲛⲟⲙⲟⲥ ⲛ̅ⲧⲉ ⲡⲛⲟⲩⲧⲉ. ⲉⲛ̅ⲟⲩϫⲁⲥⲓϩⲏⲧ ⲁⲛ ⲡⲉ. ⲉⲛ̅ⲟⲩⲣⲉϥϭⲛⲁⲧ ⲁⲛ ⲡⲉ. ⲉⲛ̅ⲟⲩⲣⲉϥϯϩⲉ ⲁⲛ ⲡⲉ. ⲉⲛ̅ⲟⲩⲛⲟϣⲥϥ ⲁⲛ ⲡⲉ. ⲉⲛ̅ⲟⲩⲙⲁⲓϩⲏⲩ ⲛ̅ϣⲗⲟϥ ⲁⲛ ⲡⲉ.	For it is right that the bishop should be irreproachable, as a steward of God, not being selfwilled, not being a man of anger, not being a winebibber, not being a striker, not being a lover of dishonourable gain,	δεῖ γὰρ τὸν ἐπίσκοπον ἀνέγκλητον εἶναι ὡς θεοῦ οἰκονόμον, μὴ αὐθάδη, μὴ ὀργίλον, μὴ πάροινον, μὴ πλήκτην, μὴ αἰσχροκερδῆ,						
Epistle to Titus	1	1	8	NT	2. NT	Pauline Epistles	3. Pauline Epistles	08. Pauline Epistles	13. Epistle to Titus	ⲉ̀ⲟⲩⲙⲁⲓϣⲉⲙⲙⲟ ⲡⲉ ⲙ̀ⲙⲁⲓⲡⲉⲑⲛⲁⲛⲉϥ ⲛ̀ⲥⲁⲃⲉ ⲛ̀ⲑⲙⲏⲓ ⲉϥⲧⲟⲩⲃⲏⲟⲩⲧ ⲉ̀ⲟⲩⲉⲅⲕⲣⲁⲧⲏⲥ ⲡⲉ	ⲁⲗⲗⲁ ⲉϥⲟ ⲙ̅ⲙⲁⲓϣⲙ̅ⲙⲟ. ⲙ̅ⲙⲁⲓ ⲡⲉⲧⲛⲁⲛⲟⲩϥ. ⲛ̅ϩⲁⲕ. ⲛ̅ⲇⲓⲕⲁⲓⲟⲥ. ⲉϥⲟⲩⲁⲁⲃ. ⲛ̅ⲉⲅⲕⲣⲁⲧⲏⲥ.	being a lover of strangers, lover of the good (singular), prudent, just, holy, being temperate,	ἀλλὰ φιλόξενον, φιλάγαθον, σώφρονα, δίκαιον, ὅσιον, ἐγκρατῆ,						
Epistle to Titus	1	1	9	NT	2. NT	Pauline Epistles	3. Pauline Epistles	08. Pauline Epistles	13. Epistle to Titus	ⲉϥⲁⲙⲟⲛⲓ ⲙ̀ⲡⲓⲥⲁϫⲓ ⲉⲧⲉⲛϩⲟⲧ ⲉ̀ϯⲥⲃⲱ ϩⲓⲛⲁ ⲛ̀ⲧⲉϥϫⲉⲙϫⲟⲙ ⲛ̀ϯⲛⲟⲙϯ ϧⲉⲛ ϯⲥⲃⲱ ⲉⲑⲟⲩⲟϫ ⲟⲩⲟϩ ⲛ̀ⲧⲉϥⲥⲟϩⲓ ⲛ̀ⲛⲏ ⲉⲧⲉⲣⲁⲛⲧⲓⲗⲉⲅⲓⲛ	ⲉϥϭⲟⲗϫ ⲙ̅ⲡϣⲁϫⲉ ⲉⲧⲛ̅ϩⲟⲧ ⲕⲁⲧⲁ ⲧⲉⲥⲃⲱ. ϫⲉⲕⲁⲥ ⲉϥⲉϣϭⲙ̅ϭⲟⲙ ⲉⲥⲟⲡⲥ̅ ϩⲛ̅ ⲧⲉⲥⲃⲱ ⲉⲧⲟⲩⲟϫ ⲁⲩⲱ ⲉϫⲡⲓⲉ ⲛⲉⲧⲟⲩⲱϩⲙ.	laying hold on the faithful word for the teaching, that he may be able to encourage in the sound teaching and reprove them who contradict.	ἀντεχόμενον τοῦ κατὰ τὴν διδαχὴν πιστοῦ λόγου, ἵνα δυνατὸς ᾖ καὶ παρακαλεῖν ἐν τῇ διδασκαλίᾳ τῇ ὑγιαινούσῃ καὶ τοὺς ἀντιλέγοντας ἐλέγχειν.						
Epistle to Titus	1	1	10	NT	2. NT	Pauline Epistles	3. Pauline Epistles	08. Pauline Epistles	13. Epistle to Titus	ⲟⲩⲟⲛ ⲟⲩⲙⲏϣ ⲅⲁⲣ ⲉⲩⲟⲓ ⲛ̀ⲁⲧϭⲛⲉϫⲱⲟⲩ ⲟⲩⲟϩ ⲛ̀ⲣⲉϥⲥⲁϫⲓ ⲙ̀ⲙⲉⲧⲉⲫⲗⲏⲟⲩ ⲉⲩⲟⲓ ⲛ̀ⲣⲉϥⲉⲣϩⲁⲗ ⲛ̀ϩⲏⲧ ⲙⲁⲗⲓⲥⲧⲁ ⲛⲓⲉ̀ⲃⲟⲗ ϧⲉⲛ ⲡⲥⲉⲃⲓ	ϩⲁϩ ⲅⲁⲣ ⲛⲉⲧⲉⲛ̅ⲥⲉϩⲩⲡⲟⲧⲁⲥⲥⲉ ⲁⲛ. ⲛ̅ⲣⲉϥϫⲉϣⲁϫⲉ ⲛ̅ⲉⲡⲣⲁ. ⲁⲩⲱ ⲛ̅ⲣⲉϥⲧⲁⲕⲉ ϩⲏⲧ ⲛ̅ϩⲟⲩⲟ ⲇⲉ ⲛ̅ⲉⲃⲟⲗ ϩⲙ̅ ⲡⲥⲃ̅ⲃⲉ.	For there are many insubordinate and speakers of vanity, deceivers of heart, chiefly they of (the) circumcision.	Εἰσὶν γὰρ πολλοὶ καὶ ἀνυπότακτοι, ματαιολόγοι καὶ φρεναπάται, μάλιστα οἱ ἐκ τῆς περιτομῆς,						
Epistle to Titus	1	1	11	NT	2. NT	Pauline Epistles	3. Pauline Epistles	08. Pauline Epistles	13. Epistle to Titus	ⲛⲁⲓ ⲉⲧⲥϣⲉ ⲛ̀ⲑⲱⲙ ⲉ̀ⲣⲱⲟⲩ ⲛⲏ ⲉⲧⲣⲓⲕⲓ ⲉ̀ⲃⲟⲗ ⲙ̀ⲡⲧⲏⲣϥ ⲛ̀ⲧⲉ ϩⲁⲛⲏⲓ ⲉⲩϯⲥⲃⲱ ⲛ̀ⲛⲏ ⲉⲧⲥϣⲉ ⲁⲛ ⲉⲑⲃⲉ ⲟⲩϩⲏⲟⲩ ⲉϥϣⲟϣϥ	ⲛⲁⲓ ⲉϣϣⲉ ⲉϣⲧⲙ̅ⲣⲱⲟⲩ. ⲛⲁⲓ ⲉⲧϣⲟⲣϣⲣ̅ ⲛ̅ϩⲉⲛⲏⲉⲓ ⲧⲏⲣⲟⲩ. ⲉⲩϯⲥⲃⲱ ⲛ̅ⲛⲉⲧⲉⲙⲉϣϣⲉ. ⲉⲧⲃⲉ ⲟⲩⲙⲛ̅ⲧⲙⲁⲓϩⲏⲩ ⲛ̅ϣⲟⲗϥ̅.	These whose mouths ought to be stopped, who turn aside (the) whole of houses, teaching the things which (they) ought not, for a despicable gain.	οὓς δεῖ ἐπιστομίζειν, οἵτινες ὅλους οἴκους ἀνατρέπουσιν διδάσκοντες ἃ μὴ δεῖ αἰσχροῦ κέρδους χάριν.						
Epistle to Titus	1	1	12	NT	2. NT	Pauline Epistles	3. Pauline Epistles	08. Pauline Epistles	13. Epistle to Titus	ⲟⲩⲁⲓ ⲇⲉ ⲉ̀ⲃⲟⲗ ⲛ̀ϧⲏⲧⲟⲩ ⲁϥϫⲟⲥ ⲟⲩⲡⲣⲟⲫⲏⲧⲏⲥ ⲛ̀ⲧⲱⲟⲩ ϫⲉ ⲛⲓⲕⲣⲏⲧⲏⲥ ϩⲁⲛⲣⲉϥϫⲉⲙⲉⲑⲛⲟⲩϫ ⲛ̀ⲥⲏⲟⲩ ⲛⲓⲃⲉⲛ ϩⲁⲛⲑⲏⲣⲓⲟⲛ ⲉⲩϩⲱⲟⲩ ⲛⲉ ϩⲁⲛⲛⲉϫⲓ ⲛ̀ⲁⲣⲅⲟⲥ ⲛⲉ	ⲁⲩⲡⲣⲟⲫⲏⲧⲏⲥ ϫⲟⲟⲥ ⲉⲃⲟⲗ ⲛ̅ϩⲏⲧⲟⲩ ϫⲉ ⲛⲉⲕⲣⲏⲧⲏⲥ ϩⲉⲛⲣⲉϥϫⲓϭⲟⲗ ⲛⲉ ⲛ̅ⲟⲩⲟⲉⲓϣ ⲛⲓⲙ. ϩⲉⲛⲑⲏⲣⲓⲟⲛ ⲉⲩϩⲟⲟⲩ ⲛⲉ. ϩⲉⲛϩⲏ ⲉⲩⲟⲩⲟⲥϥ ⲛⲉ.	But one from them said, a prophet of theirs: 'The Krētēs, sayers of falsehood always, they are evil beasts, they are idle bellies.'	εἶπέν τις ἐξ αὐτῶν, ἴδιος αὐτῶν προφήτης, Κρῆτες ἀεὶ ψεῦσται, κακὰ θηρία, γαστέρες ἀργαί·						
Epistle to Titus	1	1	13	NT	2. NT	Pauline Epistles	3. Pauline Epistles	08. Pauline Epistles	13. Epistle to Titus	ⲧⲁⲓⲙⲉⲧⲙⲉⲑⲣⲉ ⲟⲩⲙⲏⲓ ⲧⲉ ⲉⲑⲃⲉ ⲧⲁⲓⲗⲱⲓϫⲓ ⲥⲟϩⲓ ⲙ̀ⲙⲱⲟⲩ ϧⲉⲛ ⲟⲩϣⲱⲧ ⲉ̀ⲃⲟⲗ ϩⲓⲛⲁ ⲛ̀ⲥⲉⲟⲩϫⲁⲓ ϧⲉⲛ ⲫⲛⲁϩϯ	ⲧⲉⲓⲙⲛ̅ⲧⲙⲛ̅ⲧⲣⲉ ⲟⲩⲙⲉⲉ ⲧⲉ ⲉⲧⲃⲉ ⲡⲁⲓ ϫⲡⲓⲟⲟⲩ ϩⲛ̅ ⲟⲩϣⲱⲱⲧ ⲉⲃⲟⲗ. ϫⲉⲕⲁⲥ ⲉⲩⲉⲟⲩϫⲁⲓ ϩⲛ̅ ⲧⲡⲓⲥⲧⲓⲥ.	This witness is true. Because of this reason reprove them severely, that they may be sound in (the) faith,	ἡ μαρτυρία αὕτη ἐστὶν ἀληθής. διʼ ἣν αἰτίαν ἔλεγχε αὐτοὺς ἀποτόμως, ἵνα ὑγιαίνωσιν ἐν τῇ πίστει,						
Epistle to Titus	1	1	14	NT	2. NT	Pauline Epistles	3. Pauline Epistles	08. Pauline Epistles	13. Epistle to Titus	ⲛ̀ⲥⲉϯ ⲛ̀ϩⲑⲏⲟⲩ ⲁⲛ ⲛ̀ϩⲁⲛϣϥⲱ ⲙ̀ⲙⲉⲧⲓⲟⲩⲇⲁⲓ ⲛⲉⲙ ϩⲁⲛⲉⲛⲧⲟⲗⲏ ⲛ̀ⲣⲱⲙⲓ ⲉⲩⲫⲱⲛϩ ⲙ̀ⲙⲱⲟⲩ ⲥⲁⲃⲟⲗ ⲛ̀ⲑⲙⲏⲓ	ⲉⲛ̅ⲥⲉⲕⲱ ⲛ̅ϩⲧⲏⲩ ⲁⲛ ⲉϩⲉⲛϣϥⲱ ⲛ̅ⲓⲟⲩⲇⲁⲓ. ⲙⲛ̅ ϩⲉⲛⲉⲛⲧⲟⲗⲏ ⲛ̅ⲣⲱⲙⲉ. ⲉⲩⲕⲧⲟ ⲙ̅ⲙⲟⲟⲩ ⲉⲃⲟⲗ ϩⲛ̅ ⲧⲙⲉ.	and not attend to Jewish fables, and commandments of man, turning them from (the) truth.	μὴ προσέχοντες Ἰουδαϊκοῖς μύθοις καὶ ἐντολαῖς ἀνθρώπων ἀποστρεφομένων τὴν ἀλήθειαν.						
